Congress,State Code,State,Party,Name,1st Dimension Coordinate,2nd Dimension Coordinate,1st Dimension Bootstrapped Standard Error,2nd Dimension Bootstrapped Standard Error,Correlation,Log-Likelihood,Number of Votes,Number of Classification Errors,Geometric Mean Probability
111,99,USA,100,OBAMA,-0.431,-0.255,0.115,0.632,0.427,-1.12833,52,0,0.979
111,41,Alabama,200,SESSIONS,0.579,-0.065,0.028,0.203,0.161,-75.78266,594,32,0.88
111,41,Alabama,200,SHELBY,0.443,0.008,0.023,0.089,0.054,-151.4814,612,74,0.781
111,81,Alaska,200,MURKOWSKI,0.236,-0.331,0.017,0.056,0.545,-142.22314,586,68,0.785
111,81,Alaska,100,BEGICH,-0.288,0.198,0.065,0.143,0.221,-85.81058,600,33,0.867
111,61,Arizona,200,KYL,0.638,-0.596,0.039,0.119,0.789,-85.74445,608,35,0.868
111,61,Arizona,200,MCCAIN,0.421,-1.345,0.064,0.267,0.542,-141.34161,607,74,0.792
111,42,Arkansas,100,PRYOR,-0.253,0.554,0.094,0.048,0.163,-115.0099,612,48,0.829
111,42,Arkansas,100,LINCOLN,-0.175,0.405,0.097,0.061,0.013,-142.36594,592,70,0.786
111,71,California,100,BOXER,-0.513,-0.106,0.024,0.305,0.359,-69.06503,607,21,0.892
111,71,California,100,FEINSTEIN,-0.38,-0.278,0.024,0.341,0.326,-71.03457,614,24,0.891
111,62,Colorado,100,UDALL,-0.293,0.058,0.071,0.142,0.277,-103.36742,611,44,0.844
111,62,Colorado,100,BENNET,-0.263,0.399,0.112,0.092,-0.035,-108.80537,607,44,0.836
111,1,Connecticut,100,DODD,-0.442,-0.112,0.021,0.278,0.076,-45.08093,601,17,0.928
111,1,Connecticut,100,LIEBERMAN,-0.3,-0.42,0.026,0.268,0.088,-124.91676,599,53,0.812
111,11,Delaware,100,KAUFMAN,-0.467,0.085,0.039,0.269,0.224,-51.77343,562,19,0.912
111,11,Delaware,100,COONS,-0.445,0.179,0.487,0.254,0.264,-1.47609,44,0,0.967
111,11,Delaware,100,CARPER,-0.294,-0.104,0.026,0.191,0.442,-105.85046,612,43,0.841
111,43,Florida,200,MARTINEZ,0.337,-0.534,0.03,0.073,0.29,-78.52422,233,36,0.714
111,43,Florida,200,LEMIEUX,0.385,0.303,0.031,0.202,-0.093,-66.88454,360,32,0.83
111,43,Florida,100,NELSON,-0.262,0.122,0.057,0.111,0.257,-96.00269,605,41,0.853
111,44,Georgia,200,CHAMBLISS,0.518,0.165,0.029,0.247,0.107,-73.83883,588,37,0.882
111,44,Georgia,200,ISAKSON,0.504,0.11,0.032,0.209,-0.069,-96.19164,551,41,0.84
111,82,Hawaii,100,AKAKA,-0.487,0.172,0.027,0.238,0.36,-48.35867,615,21,0.924
111,82,Hawaii,100,INOUYE,-0.394,0.236,0.023,0.145,-0.173,-43.28196,612,20,0.932
111,63,Idaho,200,RISCH,0.538,0.444,0.038,0.22,-0.509,-69.56261,612,29,0.893
111,63,Idaho,200,CRAPO,0.522,0.216,0.034,0.181,-0.153,-82.4592,609,34,0.873
111,21,Illinois,100,DURBIN,-0.55,-0.064,0.026,0.299,0.247,-32.94218,612,11,0.948
111,21,Illinois,100,BURRIS,-0.541,-0.19,0.042,0.401,0.191,-26.33738,564,8,0.954
111,21,Illinois,200,KIRK,0.333,-0.88,0.077,0.425,0,-18.2058,38,8,0.619
111,22,Indiana,100,BAYH,-0.118,0.457,0.143,0.239,0.009,-257.56815,585,122,0.644
111,22,Indiana,200,LUGAR,0.241,-0.6,0.034,0.052,0.024,-159.49718,611,73,0.77
111,31,Iowa,200,GRASSLEY,0.435,0.007,0.02,0.158,0.209,-143.74055,616,71,0.792
111,31,Iowa,100,HARKIN,-0.554,0.113,0.022,0.22,0.312,-43.73915,608,18,0.931
111,32,Kansas,200,BROWNBACK,0.439,-0.396,0.03,0.083,0.448,-106.25449,579,52,0.832
111,32,Kansas,200,ROBERTS,0.42,0.098,0.021,0.144,0.203,-97.4421,583,46,0.846
111,51,Kentucky,200,BUNNING,0.673,0.107,0.039,0.299,0.22,-99.05955,574,32,0.841
111,51,Kentucky,200,MCCONNELL,0.515,-0.082,0.033,0.134,0.338,-78.78416,615,36,0.88
111,45,Louisiana,200,VITTER,0.623,0.616,0.067,0.428,-0.114,-92.28398,588,41,0.855
111,45,Louisiana,100,LANDRIEU,-0.236,0.517,0.094,0.059,0.158,-109.25325,590,44,0.831
111,2,Maine,200,COLLINS,0.059,-0.589,0.044,0.091,0.431,-142.92841,616,63,0.793
111,2,Maine,200,SNOWE,0.04,-0.51,0.028,0.098,0.584,-178.40361,616,92,0.749
