Congress,State Code,State,Party,Name,1st Dimension Coordinate,2nd Dimension Coordinate,1st Dimension Bootstrapped Standard Error,2nd Dimension Bootstrapped Standard Error,Correlation,Log-Likelihood,Number of Votes,Number of Classification Errors,Geometric Mean Probability
1,1,Connecticut,5000,JOHNSON,0.997,-0.08,0.316,0.276,-0.612,-28.41549,82,15,0.707
1,1,Connecticut,5000,ELLSWORTH,0.526,0.598,0.165,0.116,-0.035,-20.37691,97,8,0.811
1,11,Delaware,4000,BASSETT,0.119,-0.181,0.094,0.163,-0.138,-28.94455,90,10,0.725
1,11,Delaware,5000,READ,0.265,-0.327,0.092,0.12,-0.17,-26.21842,96,3,0.761
1,44,Georgia,4000,FEW,-0.754,-0.569,0.145,0.155,-0.582,-50.55269,85,26,0.552
1,44,Georgia,4000,GUNN,-0.142,-0.999,0.141,0.158,-0.49,-33.18692,83,17,0.67
1,52,Maryland,5000,CARROLL,0.189,-0.688,0.073,0.132,-0.147,-34.22619,95,10,0.697
1,52,Maryland,5000,HENRY,0.098,-0.703,0.075,0.089,-0.097,-41.01866,97,28,0.655
1,3,Massachusetts,5000,DALTON,0.792,0.61,0.251,0.118,-0.522,-20.90563,99,13,0.81
1,3,Massachusetts,5000,STRONG,0.622,0.783,0.181,0.095,-0.664,-13.19655,82,6,0.851
1,4,New Hampshire,5000,LANGDON,0.406,-0.328,0.594,0.4,-0.449,-41.6251,83,24,0.606
1,4,New Hampshire,4000,WINGATE,-0.364,0.931,0.141,0.068,0.855,-18.14123,98,11,0.831
1,12,New Jersey,5000,ELMER,0.389,-0.078,0.134,0.216,-0.026,-35.82701,86,18,0.659
1,12,New Jersey,5000,PATERSON,0.947,0.322,0.261,0.167,-0.654,-13.44373,72,9,0.83
1,13,New York,5000,SCHUYLER,0.929,-0.37,0.231,0.174,0.75,-21.05861,94,12,0.799
1,13,New York,5000,KING,0.806,-0.279,0.171,0.184,0.274,-22.11184,96,7,0.794
1,47,North Carolina,5000,HAWKINS,-0.129,-0.809,0.069,0.083,0.032,-25.87619,73,12,0.702
1,47,North Carolina,5000,JOHNSTON,-0.029,-0.703,0.07,0.122,-0.182,-41.44925,77,23,0.584
1,14,Pennsylvania,4000,MACLAY,-0.492,0.456,0.13,0.203,0.415,-16.81068,79,5,0.808
1,14,Pennsylvania,5000,MORRIS,0.627,-0.742,0.131,0.099,0.788,-34.03134,97,17,0.704
1,5,Rhode Island,4000,STANTON,-0.069,0.092,0.072,0.206,-0.095,-25.79815,61,17,0.655
1,5,Rhode Island,5000,FOSTER,0.255,0.659,0.135,0.098,-0.12,-18.22358,61,10,0.742
1,48,South Carolina,5000,BUTLER,-0.6,-0.8,0.118,0.138,-0.913,-71.50779,95,36,0.471
1,48,South Carolina,5000,IZARD,0.355,-0.706,0.074,0.082,-0.016,-56.10856,99,36,0.567
1,40,Virginia,4000,LEE,-0.358,-0.505,0.075,0.127,-0.061,-20.10994,91,6,0.802
1,40,Virginia,5000,WALKER,-0.914,-0.406,0.273,0.369,-0.337,-34.60904,58,20,0.551
2,1,Connecticut,5000,ELLSWORTH,0.526,0.598,0.165,0.116,-0.035,-9.7364,52,3,0.829
2,1,Connecticut,5000,SHERMAN,-0.442,0.187,0.121,0.297,0.178,-16.22906,52,7,0.732
2,11,Delaware,5000,BASSETT,0.119,-0.181,0.094,0.163,-0.138,-14.8443,36,7,0.662
2,11,Delaware,5000,READ,0.265,-0.327,0.092,0.12,-0.17,-17.35002,52,10,0.716
2,44,Georgia,4000,GUNN,0.028,-0.983,0.077,0.153,-0.571,-16.52683,45,8,0.693
2,44,Georgia,4000,FEW,-0.754,-0.569,0.145,0.155,-0.582,-13.33782,49,5,0.762
