date,pm25,aqi,tweet_id
06-07-2012 09:00,44.0,115,210538446056460288
06-07-2012 08:00,38.0,105,210523346725642241
06-07-2012 07:00,45.0,117,210508249722662913
06-07-2012 06:00,49.0,123,210493147627786241
06-07-2012 05:00,50.0,125,210478048213073920
06-07-2012 04:00,56.0,135,210462948831936512
06-07-2012 03:00,49.0,123,210447849496907776
06-07-2012 02:00,43.0,113,210432749641801728
06-07-2012 01:00,50.0,125,210417662185062401
06-07-2012 00:00,48.0,121,210402573117702145
06-06-2012 23:00,56.0,135,210387462156066816
06-06-2012 22:00,59.0,140,210372361441120257
06-06-2012 21:00,50.0,125,210357262676525056
06-06-2012 20:00,45.0,117,210342167946870785
06-06-2012 19:00,49.0,123,210327069308092417
06-06-2012 18:00,46.0,118,210311972774883328
06-06-2012 17:00,168.0,218,210296860991176704
06-06-2012 16:00,212.0,262,210281761731657728
06-06-2012 15:00,204.0,254,210266668339961857
06-06-2012 14:00,203.0,253,210251562960949248
06-06-2012 13:00,205.0,255,210236481514643457
06-06-2012 12:00,189.0,239,210221364416741378
06-06-2012 11:00,191.0,241,210206264037343232
06-06-2012 10:00,193.0,243,210191160470290432
06-06-2012 09:00,194.0,244,210176065522507776
06-06-2012 08:00,167.0,217,210160966229442560
06-06-2012 07:00,148.0,199,210145866001027072
06-06-2012 06:00,130.0,188,210130766917681152
06-06-2012 05:00,122.0,184,210115664864755712
06-06-2012 04:00,141.0,195,210100864780742656
06-06-2012 03:00,148.0,199,210085469734711297
06-06-2012 02:00,219.0,269,210070368466120704
06-06-2012 01:00,237.0,287,210055285212057601
06-06-2012 00:00,199.0,249,210040190780178432
06-05-2012 23:00,166.0,216,210025073652932608
06-05-2012 22:00,135.0,191,210009974062059521
06-05-2012 21:00,57.0,136,209994876568354818
06-05-2012 20:00,46.0,118,209979774880317440
06-05-2012 19:00,54.0,131,209964706373435392
06-05-2012 18:00,52.0,128,209949572410249217
06-05-2012 17:00,47.0,120,209934473423355904
06-05-2012 16:00,20.0,62,209919373576650752
06-05-2012 15:00,8.0,26,209904273927061504
06-05-2012 14:00,8.0,26,209889179511955457
06-05-2012 13:00,5.0,16,209873979329093633
06-05-2012 12:00,6.0,19,209858976584704000
06-05-2012 11:00,13.0,42,209843876092055553
06-05-2012 10:00,15.0,49,209828776660578304
06-05-2012 09:00,42.0,112,209813677824688128
06-05-2012 08:00,76.0,157,209798570226876416
06-05-2012 07:00,87.0,163,209783471822995456
06-05-2012 06:00,88.0,164,209768415739650048
06-05-2012 05:00,97.0,169,209753271915642880
06-05-2012 04:00,109.0,176,209738193434722304
06-05-2012 03:00,86.0,163,209723081143496704
06-05-2012 02:00,72.0,155,209707982148222979
06-05-2012 01:00,70.0,154,209692899745607680
06-05-2012 00:00,69.0,153,209677805343088642
06-04-2012 23:00,56.0,135,209662687494414338
06-04-2012 22:00,47.0,120,209647593494548480
06-04-2012 21:00,52.0,128,209632486718840835
06-04-2012 20:00,61.0,143,209617391779454977
06-04-2012 19:00,74.0,156,209602287042179072
06-04-2012 18:00,62.0,144,209587188118204416
06-04-2012 17:00,66.0,151,209572093262704640
06-04-2012 16:00,75.0,156,209556999388676096
06-04-2012 15:00,118.0,181,209541886317314048
06-04-2012 14:00,154.0,204,209526787103928320
06-04-2012 13:00,143.0,196,209511750335332352
06-04-2012 12:00,141.0,195,209496587817332736
06-04-2012 11:00,135.0,191,209481489547673600
06-04-2012 10:00,148.0,199,209466389491224576
06-04-2012 09:00,164.0,214,209451287031447552
06-04-2012 08:00,167.0,217,209436187105034240
06-04-2012 07:00,161.0,211,209421095747588097
06-04-2012 06:00,146.0,197,209405983951306754
06-04-2012 05:00,141.0,195,209390922021076992
06-04-2012 04:00,139.0,193,209375787944652800
06-04-2012 03:00,140.0,194,209360693525348352
06-04-2012 02:00,135.0,191,209345595767394304
06-04-2012 01:00,120.0,182,209330493177606144
06-04-2012 00:00,95.0,168,209315407482466304
06-03-2012 23:00,80.0,159,209300298399875072
06-03-2012 22:00,84.0,162,209285210636947456
06-03-2012 21:00,92.0,166,209270099281055744
06-03-2012 20:00,63.0,146,209255013292322817
06-03-2012 19:00,57.0,136,209239899042361344
06-03-2012 18:00,41.0,110,209224797413056512
06-03-2012 17:00,39.0,107,209209697440505856
06-03-2012 16:00,59.0,140,209194598793359360
06-03-2012 15:00,261.0,311,209179526939426816
06-03-2012 14:00,216.0,266,209164407161372672
06-03-2012 13:00,206.0,256,209149315959099392
06-03-2012 12:00,238.0,288,209134221128777728
06-03-2012 11:00,246.0,296,209119107151446016
06-03-2012 10:00,242.0,292,209104003701817344
06-03-2012 09:00,239.0,289,209088909630644225
06-03-2012 08:00,237.0,287,209073803144347648
06-03-2012 07:00,244.0,294,209058702882390016
06-03-2012 06:00,248.0,298,209043601706065920
06-03-2012 05:00,233.0,283,209028501825798144
06-03-2012 04:00,207.0,257,209013403719696384
06-03-2012 03:00,175.0,225,208998306007875584
06-03-2012 02:00,178.0,228,208983208623214593
06-03-2012 01:00,168.0,218,208968136899301376
06-03-2012 00:00,159.0,209,208953028563320833
06-02-2012 23:00,146.0,197,208937980096819201
06-02-2012 22:00,130.0,188,208922841893187585
06-02-2012 21:00,117.0,181,208907754197364737
06-02-2012 20:00,95.0,168,208892674172919808
06-02-2012 19:00,71.0,154,208877543485476864
06-02-2012 18:00,67.0,152,208862431647244288
06-02-2012 17:00,63.0,146,208847315811835904
06-02-2012 16:00,62.0,144,208832215705075712
06-02-2012 15:00,63.0,146,208817125647855616
06-02-2012 14:00,69.0,153,208802040137269249
06-02-2012 13:00,108.0,176,208786949912276992
06-02-2012 12:00,143.0,196,208771823297511424
06-02-2012 11:00,158.0,208,208756750239801344
06-02-2012 10:00,168.0,218,208741614997348352
06-02-2012 09:00,185.0,235,208726514286592001
06-02-2012 08:00,180.0,230,208711407414419457
06-02-2012 07:00,189.0,239,208696309417381888
06-02-2012 06:00,155.0,205,208681208278810626
06-02-2012 05:00,145.0,197,208666116359331841
06-02-2012 04:00,141.0,195,208651012129566720
06-02-2012 03:00,143.0,196,208635920260407296
06-02-2012 02:00,149.0,199,208620820514349056
06-02-2012 01:00,144.0,196,208605771393536002
06-02-2012 00:00,143.0,196,208590625694683136
06-01-2012 23:00,151.0,201,208575528213553155
06-01-2012 22:00,152.0,202,208560449661317120
06-01-2012 21:00,138.0,193,208545333788155905
06-01-2012 20:00,121.0,183,208530230292389890
06-01-2012 19:00,115.0,180,208515141950652416
06-01-2012 18:00,108.0,176,208500024353624064
06-01-2012 17:00,83.0,161,208484938759147522
06-01-2012 16:00,71.0,154,208469829785616385
06-01-2012 15:00,66.0,151,208454727376183297
06-01-2012 14:00,52.0,128,208439628129243136
06-01-2012 13:00,55.0,133,208424526558662657
06-01-2012 12:00,55.0,133,208409427550801922
06-01-2012 11:00,55.0,133,208394327397904385
06-01-2012 10:00,55.0,133,208379229241491456
06-01-2012 09:00,54.0,131,208364128992100352
06-01-2012 08:00,53.0,130,208349022468050945
06-01-2012 07:00,55.0,133,208333926148734976
06-01-2012 06:00,65.0,149,208318823009484800
06-01-2012 05:00,58.0,138,208303729252896768
06-01-2012 04:00,57.0,136,208288630752546817
06-01-2012 03:00,63.0,146,208273532210253824
06-01-2012 02:00,55.0,133,208258464764538881
06-01-2012 01:00,51.0,126,208243336694337537
06-01-2012 00:00,50.0,125,208228239234174976
05-31-2012 23:00,40.0,108,208213143116201985
05-31-2012 22:00,50.0,125,208198054149492737
05-31-2012 21:00,48.0,121,208183443731918849
05-31-2012 20:00,43.0,113,208167847992639490
05-31-2012 19:00,46.0,118,208152749328699392
05-31-2012 18:00,37.0,103,208137661330898945
