Name,CompanyName,Subcategory,AddressLine1,AddressLine2,AddressLine3,City,State,Zip,Country,Description
"21st Century Biochemicals, Inc.","21ST CENTURY BIOCHEMICALS, INC.",Research Products & Instrumentation,260 Cedar Hill Street,,,Marlborough,MA,01752,USA,"Twenty First Century Biochemicals, LLC, provides bioactive peptides, phosphospecific antibodies, as well as tools for MS and capillary LC for research laboratories in the life sciences. The Company also provides comprehensive MS and Analytical Services including: localizing post translational modifications (e.g., phosphorylation, glycosylation), characterizing complex protein-protein interactions, protein ID, peptide and protein sequencing, and bioseparations, using state of the art LC-MS/MS. Twenty First Century Biochemicals is also a supplier of custom peptides and antibodies and the only peptide manufacturer to offer free peptide sequencing by CID-MS/MS with all high purity peptides."
454 Life Sciences,454 LIFE SCIENCES,Research Products & Instrumentation,20 Commercial Street,,,Branford,CT,06405,USA,"454 Life Sciences, a Roche Company, develops and commercializes the innovative Genome Sequencer™ system for ultra-high-throughput DNA sequencing. Specific applications include de novo sequencing and re-sequencing of genomes, metagenomics, RNA analysis, and targeted sequencing of DNA regions of interest. The hallmarks of 454 Sequencing™ are its simple, unbiased sample preparation and long, highly accurate sequence reads, including paired reads. 454's current system, the genome sequencer FLX generates 100 million high quality bases per 7.5 hour instrument run. 454 Sequencing technology has enabled many peer-reviewed studies in diverse research fields such as cancer and infectious disease research, drug discovery, marine biology, anthropology, paleontology and many more.    "
"480 Biomedical, Inc. ","480 BIOMEDICAL, INC. ",Medical Device,480 Arsenal St,,,Watertown,MA,02472,USA,"Arsenal Medical is a medical technology company with an engine to develop localized pro-healing therapies with low-risk, known regulatory pathways to market.    Our expertise in biology, chemistry, materials science, and device engineering creates a bridge from clinical need to biologically-inspired treatment. Our experienced team is creating products first for cardiovascular disease.  We will use our expertise, experience and entrepreneurial culture to expand into multiple therapeutic areas."
7S BioVentures.,7S BIOVENTURES.,Drug Development,One Innovation Drive,"3 Biotech, 3rd Floor",,Worcester,MA,01605,USA,"SelectX Pharmaceuticals is a leader in the emerging field of bio-medicinal drug discovery and development of natural product-like small molecule therapeutics.  The company&rsquo;s unique and proprietary approach is based entirely on molecular selection as opposed to screening, offering significant technical and economic advantages.  SelectX&rsquo;s integrated discovery platforms of Directed Discovery&trade;, an advanced technology for chemotype-directed discovery, and ComGene&trade; (Combinatorial Genetics) enable rapid selection, synthesis, scale-up, and optimization.  ChemDisplay&trade; integrates small molecule surface display with heterologous expression of biosynthesized small molecules, permitting the rapid, target-directed selection of compounds from clonal libraries of virtually any size and complexity of completely novel, biologically active small molecules. The Company&rsquo;s core technologies arose from a merger between OmniScience Pharmaceuticals Inc. (Tempe, AZ), founded by Dr. Michael Chaparian, and BioChemist Inc. (Boston, MA), founded by Dr. Charles Cantor."
Abbott Laboratories ,ABBOTT LABORATORIES ,Drug Development,100 Research Drive,,,Worcester,MA,01605,USA,"Abbott Bioresearch Center (ABC) is the local Massachusetts site of Abbott Laboratories, one of the world's leading healthcare companies. Established in 1989, ABC is adjacent to the Worcester Biotechnology Park and the University of Massachusetts Medical Center in Worcester, Massachusetts, 35 miles west of Boston. The 450,000 SF facility is located on a 30-acre landscaped site and houses approximately 775 employees, divided between biopharmaceutical production and drug discovery research.     ABC's production facility is segmented into separate cell culture suites and purification suites, supported by a common production infrastructure.     Together with rigorously developed quality systems (changeover, change control, etc.), this enables ABC to operate as a campaign based facility, with multiple products safely manufactured at the same time in different areas and at different times in the same area. Extensive and validated equipment covering the full range of biopharmaceutical unit operations combine with state-of-the art control systems to enable a broad range of biopharm processes. ABC manufactures both for Abbott and for other companies on a contract manufacturing basis.     In drug discovery research, ABC's mission is to discover new small molecule and biologic therapies for immunological diseases. We are working toward the discovery of anti-inflammatory compounds that alter signal transduction in immune cells and antibodies that target autoimmune     mechanisms. In collaboration with scientists from Abbott discovery     centers we are also developing novel multi-functional Biologics as optimized therapeutic solutions for the treatment of cancer, pain and neurological disorders, Our research group includes highly trained scientists in the disciplines of molecular and cellular biology, pharmacology, medicinal chemistry and biotechnology.     ABC offers prospective employees a complete benefits package including generous paid vacation; matching 401(k) plan, pension plan, tuition reimbursement, medical, dental and life insurance benefits and health and dependent care reimbursement accounts. We are an equal opportunity employer.     ABC is the perfect place to bring your biopharmaceutical career or product.   "
"Abcam, Inc.","ABCAM, INC.",Research Products & Instrumentation,One Kendall Square,Building 200,,Cambridge,MA,02139,USA,"Abcam, the world’s antibody gateway, was founded in 1998 by CEO Dr. Jonathan Milner, at the time a post-doc in a laboratory in the University of Cambridge, UK.  Jonathan came up with the idea for a web-based antibody company that would sell the best antibodies in the world with the most comprehensive, honest and up-to-date datasheets, fast delivery, helpful customer service and technical support.  In 2003, Abcam Ltd. opened an office in Cambridge, MA, to better serve its US customers.  Today, Abcam offers more than 12,000 antibodies in different research areas, shipping worldwide, with the same commitment and enthusiasm that our CEO had when creating the Company."
Aberjona Laboratories,ABERJONA LABORATORIES,Contract Research & Manufacturing,100 Cummings Center,Suite 242F,,Beverly,MA,01915,USA,"    Aberjona Laboratories is a collaborative research and development organization dedicated to providing drug discovery services and solutions to biotechnology, pharmaceutical and genomics companies. Aberjona boasts high-speed chemistry capability and expertise in small molecule drug discovery and organic synthesis, which enables rapid, first-rate medicinal chemistry and process development. Our credibility and proven track record has made us the best organic and medicinal chemistry team around. We have the ability of designing from concept to accomplishing the synthesis of drug candidates at high-speed and short turnaround time from 3 days to 3 weeks. Our extensive experience in organic synthesis allows us to offer high quality services in any areas. Our hit identification and lead optimization services are able to decrease the cost and compress the preclinical development time for our partners. These have been proven by our several recent patent applications for new drug candidates and publications with our collaborators.     "
"ABIOMED, Inc.","ABIOMED, INC.",Medical Device,22 Cherry Hill Drive,,,Danvers,MA,01923,USA,"ABIOMED was founded more than two decades ago with a singular mission &ndash; to make real the day when heart failure need not mean the end of life or the ability to enjoy life. The company develops, manufactures and markets innovative heart assist and replacement systems.    In 2001, ABIOMED made history when Mr. Robert Tools, a 58 year old telephone company employee and teacher suffering from late stage heart failure, was successfully implanted with the first completely self-contained replacement heart: the AbioCor&reg;. The ongoing AbioCor clinical trial has demonstrated that a replacement heart capable of sustaining a satisfactory quality of life is attainable, and not a distant dream.  ABIOMED is also the only company in the circulatory support market offering a system designed for the best outcome of all: recovery. Thousands of patients with failing hearts have been put on our BVS&reg; 5000 and AB5000&trade; circulatory support systems and either recovered, returning to their normal lives untethered by devices, or received heart support and improved organ function until they received a transplant."
"ABL, Inc.","ABL, INC.",Contract Research & Manufacturing,9800 Medical Center Drive,Bldg. D,,Rockville,MD,20850,USA,"ABL is a biologics CRO and CMO with over 50 years of experience partnering with clients to meet their preclinical and clinical product development goals.  Our expertise with vaccines and therapeutics includes in vivo and in vitro immunomonitoring and challenge testing, along with cGMP manufacturing utilizing mammalian, microbial and virus systems."
"ABM Associates, LLC","ABM ASSOCIATES, LLC",Contract Research & Manufacturing,683 North Mountain Road,,,Newington,CT,06111,USA,
