BioMedtechTypeCopy,MA Bio Member,CompanyName,FName,LName,Title,AddressLine1,AddressLine2,City,State,Zip,NumEmplSt,address
Contract Research & Manufacturing,,27 GAYLORD LLC,Richard,Himmelwright,Sr Exec R&D/Manufacturing,70 Lamb St,,S Hadley,MA,01035,4,"70 Lamb St, S Hadley, MA 01035"
Drug Development,,3DM INC,Keiji,Nagano,CEO,245 First St,18th Floor,Cambridge,MA,02142,0,"245 First St 18th Floor, Cambridge, MA 02142"
BioInformatics,,3RD MILLENNIUM INC,Ousama,Shamma,President,391 Totten Pond Rd,Suite 201,Waltham,MA,02451,10,"391 Totten Pond Rd Suite 201, Waltham, MA 02451"
Medical Device,MA Bio Member,480 BIOMEDICAL,Duke,Collier,CEO,480 Arsenal St,,Watertown,MA,02472,0,"480 Arsenal St, Watertown, MA 02472"
Research Products & Instrumentation,,89 NORTH,Chris,Baumann,General Manager,1 Mill St,Unit 285,Burlington,VT,05401,0,"1 Mill St Unit 285, Burlington, VT 05401"
Medical Device,,A T SURGICAL CO INC,Mark,Shoham,President,115 Clemente St,,Holyoke,MA,01040,30,"115 Clemente St, Holyoke, MA 01040"
Medical Device,,AADCO MEDICAL INC,,,,PO Box 410,,Randolph,VT,05060,40,"PO Box 410, Randolph, VT 05060"
Research Products & Instrumentation,,ABAZYME LLC,Amy,Dasch,Owner,85 Pine Grove St,,Needham,MA,02494,0,"85 Pine Grove St, Needham, MA 02494"
Drug Development,MA Bio Member,ABBOTT BIORESEARCH CENTER,Miles,White,Chairman/CEO,100 Research Dr,,Worcester,MA,01605,685,"100 Research Dr, Worcester, MA 01605"
Contract Research & Manufacturing,MA Bio Member,ABERJONA LABORATORIES INC,Jifeng,Liu,President,100 Cummings Center,Suite 242F,Beverly,MA,01915,4,"100 Cummings Center Suite 242F, Beverly, MA 01915"
Medical Device,MA Bio Member,ABIOMED INC,Michael,Minogue,CEO/COB/President,22 Cherry Hill Dr,,Danvers,MA,01923,400,"22 Cherry Hill Dr, Danvers, MA 01923"
Contract Research & Manufacturing,,ABOGEN INC,,,,417 Auburn St,,Portland,ME,04103,2,"417 Auburn St, Portland, ME 04103"
Contract Research & Manufacturing,MA Bio Member,ABPRO INC,Ian,Chan,CEO,101 Hartwell Ave,,Lexington,MA,02421,30,"101 Hartwell Ave, Lexington, MA 02421"
Contract Research & Manufacturing,,ACCELERATE INC,Michael,Ryan,President/CEO,3 Meadow Dr,,Upton,MA,01568,1,"3 Meadow Dr, Upton, MA 01568"
Disease Foundation,MA Bio Member,ACCELERATED CURE PROJECT FOR MULTIPLE SCLEROSIS,,,,300 5th Ave,,Waltham,MA,02451,7,"300 5th Ave, Waltham, MA 02451"
Drug Development,MA Bio Member,ACCELERON PHARMA INC,John,Knopf,CEO/Founder,128 Sidney St,,Cambridge,MA,02139,75,"128 Sidney St, Cambridge, MA 02139"
Medical Device,,ACCU-LINE PRODUCTS INC,,,,P O Box 875,,Hyannis,MA,02601,6,"P O Box 875, Hyannis, MA 02601"
Medical Device,,ACCUBOOST,,,,One Industrial Way,,Tyngsboro,MA,01879,25,"One Industrial Way, Tyngsboro, MA 01879"
Medical Device,,ACE SURGICAL SUPPLY CO,Craig,Carchidi,President,1034 Pearl St,,Brockton,MA,02301,50,"1034 Pearl St, Brockton, MA 02301"
Drug Development,MA Bio Member,ACETYLON PHARMACEUTICALS INC,Walter,Ogier,CEO,70 Fargo St,Suite 205,Boston,MA,02210,0,"70 Fargo St Suite 205, Boston, MA 02210"
Drug Development,,ACHILLION PHARMACEUTICALS INC,Michael,Kishbauch,President/CEO,300 George St,,New Haven,CT,06511,46,"300 George St, New Haven, CT 06511"
Research Products & Instrumentation,,ACLEARIUM LAB SOLUTIONS INC,Yen Yen,Lim,President,Shannon Circle,,Westford,MA,01886,2,"Shannon Circle, Westford, MA 01886"
Medical Device,,ACORN PRODUCT DEVELOPMENT,Ken,Haven,Founder/CEO,1 Broadway,14th Floor,Cambridge,MA,02142,5,"1 Broadway 14th Floor, Cambridge, MA 02142"
Drug Development,,ACRETIA INC,Robert,Urban,President/CEO,51 Follen,,Lexington,MA,02421,15,"51 Follen, Lexington, MA 02421"
