category,name,address,city,state,zipcode,location,employees,id,mass_tech_member,slug,description
Research Products & Instrumentation,"21St Century Biochemicals, Inc.",260 Cedar Hill Street,Marlborough,MA,1752,"260 Cedar Hill Street, Marlborough, MA1752",0,1,FALSE,21st-century-biochemicals-inc,"Twenty First Century Biochemicals, LLC, provides bioactive peptides, phosphospecific antibodies, as well as tools for MS and capillary LC for research laboratories in the life sciences. The Company also provides comprehensive MS and Analytical Services including: localizing post translational modifications (e.g., phosphorylation, glycosylation), characterizing complex protein-protein interactions, protein ID, peptide and protein sequencing, and bioseparations, using state of the art LC-MS/MS. Twenty First Century Biochemicals is also a supplier of custom peptides and antibodies and the only peptide manufacturer to offer free peptide sequencing by CID-MS/MS with all high purity peptides."
Contract Research & Manufacturing,27 Gaylord Llc,70 Lamb St,S Hadley,MA,1035,"70 Lamb St, S Hadley, MA1035",4,719,FALSE,27-gaylord-llc,
Drug Development,3Dm Inc,245 First St 18th Floor,Cambridge,MA,2142,"245 First St 18th Floor, Cambridge, MA2142",0,720,FALSE,3dm-inc,
BioInformatics,3Rd Millennium Inc,391 Totten Pond Rd Suite 201,Waltham,MA,2451,"391 Totten Pond Rd Suite 201, Waltham, MA2451",10,721,FALSE,3rd-millennium-inc,
Research Products & Instrumentation,454 Life Sciences,20 Commercial Street,Branford,CT,6405,"20 Commercial Street, Branford, CT6405",0,2,FALSE,454-life-sciences,"454 Life Sciences, a Roche Company, develops and commercializes the innovative Genome Sequencer™ system for ultra-high-throughput DNA sequencing. Specific applications include de novo sequencing and re-sequencing of genomes, metagenomics, RNA analysis, and targeted sequencing of DNA regions of interest. The hallmarks of 454 Sequencing™ are its simple, unbiased sample preparation and long, highly accurate sequence reads, including paired reads. 454's current system, the genome sequencer FLX generates 100 million high quality bases per 7.5 hour instrument run. 454 Sequencing technology has enabled many peer-reviewed studies in diverse research fields such as cancer and infectious disease research, drug discovery, marine biology, anthropology, paleontology and many more.    "
Medical Device,480 Biomedical,480 Arsenal St,Watertown,MA,2472,"480 Arsenal St, Watertown, MA2472",0,722,TRUE,480-biomedical,
Drug Development,7S Bioventures.,"One Innovation Drive 3 Biotech, 3rd Floor",Worcester,MA,1605,"One Innovation Drive 3 Biotech, 3rd Floor, Worcester, MA1605",0,4,FALSE,7s-bioventures,"SelectX Pharmaceuticals is a leader in the emerging field of bio-medicinal drug discovery and development of natural product-like small molecule therapeutics.  The company&rsquo;s unique and proprietary approach is based entirely on molecular selection as opposed to screening, offering significant technical and economic advantages.  SelectX&rsquo;s integrated discovery platforms of Directed Discovery&trade;, an advanced technology for chemotype-directed discovery, and ComGene&trade; (Combinatorial Genetics) enable rapid selection, synthesis, scale-up, and optimization.  ChemDisplay&trade; integrates small molecule surface display with heterologous expression of biosynthesized small molecules, permitting the rapid, target-directed selection of compounds from clonal libraries of virtually any size and complexity of completely novel, biologically active small molecules. The Company&rsquo;s core technologies arose from a merger between OmniScience Pharmaceuticals Inc. (Tempe, AZ), founded by Dr. Michael Chaparian, and BioChemist Inc. (Boston, MA), founded by Dr. Charles Cantor."
Research Products & Instrumentation,89 North,1 Mill St Unit 285,Burlington,VT,5401,"1 Mill St Unit 285, Burlington, VT5401",0,723,FALSE,89-north,
Medical Device,A T Surgical Co Inc,115 Clemente St,Holyoke,MA,1040,"115 Clemente St, Holyoke, MA1040",30,724,FALSE,a-t-surgical-co-inc,
Medical Device,Aadco Medical Inc,PO Box 410,Randolph,VT,5060,"PO Box 410, Randolph, VT5060",40,725,FALSE,aadco-medical-inc,
