address,category,city,description,employees,id,lat,lng,mass_tech_member,name,slug,state,zipcode
260 Cedar Hill Street,Research Products & Instrumentation,Marlborough,"Twenty First Century Biochemicals, LLC, provides bioactive peptides, phosphospecific antibodies, as well as tools for MS and capillary LC for research laboratories in the life sciences. The Company also provides comprehensive MS and Analytical Services including: localizing post translational modifications (e.g., phosphorylation, glycosylation), characterizing complex protein-protein interactions, protein ID, peptide and protein sequencing, and bioseparations, using state of the art LC-MS/MS. Twenty First Century Biochemicals is also a supplier of custom peptides and antibodies and the only peptide manufacturer to offer free peptide sequencing by CID-MS/MS with all high purity peptides.",0,1,None,None,False,"21St Century Biochemicals, Inc.",21st-century-biochemicals-inc,MA,01752
70 Lamb St,Contract Research & Manufacturing,S Hadley,,4,719,None,None,False,27 Gaylord Llc,27-gaylord-llc,MA,01035
245 First St 18th Floor,Drug Development,Cambridge,,0,720,None,None,False,3Dm Inc,3dm-inc,MA,02142
391 Totten Pond Rd Suite 201,BioInformatics,Waltham,,10,721,None,None,False,3Rd Millennium Inc,3rd-millennium-inc,MA,02451
20 Commercial Street,Research Products & Instrumentation,Branford,"454 Life Sciences, a Roche Company, develops and commercializes the innovative Genome Sequencer™ system for ultra-high-throughput DNA sequencing. Specific applications include de novo sequencing and re-sequencing of genomes, metagenomics, RNA analysis, and targeted sequencing of DNA regions of interest. The hallmarks of 454 Sequencing™ are its simple, unbiased sample preparation and long, highly accurate sequence reads, including paired reads. 454's current system, the genome sequencer FLX generates 100 million high quality bases per 7.5 hour instrument run. 454 Sequencing technology has enabled many peer-reviewed studies in diverse research fields such as cancer and infectious disease research, drug discovery, marine biology, anthropology, paleontology and many more.    ",0,2,None,None,False,454 Life Sciences,454-life-sciences,CT,06405
480 Arsenal St,Medical Device,Watertown,,0,722,None,None,True,480 Biomedical,480-biomedical,MA,02472
480 Arsenal St,Medical Device,Watertown,"Arsenal Medical is a medical technology company with an engine to develop localized pro-healing therapies with low-risk, known regulatory pathways to market.    Our expertise in biology, chemistry, materials science, and device engineering creates a bridge from clinical need to biologically-inspired treatment. Our experienced team is creating products first for cardiovascular disease.  We will use our expertise, experience and entrepreneurial culture to expand into multiple therapeutic areas.",0,3,None,None,False,"480 Biomedical, Inc. ",480-biomedical-inc,MA,02472
"One Innovation Drive 3 Biotech, 3rd Floor",Drug Development,Worcester,"SelectX Pharmaceuticals is a leader in the emerging field of bio-medicinal drug discovery and development of natural product-like small molecule therapeutics.  The company&rsquo;s unique and proprietary approach is based entirely on molecular selection as opposed to screening, offering significant technical and economic advantages.  SelectX&rsquo;s integrated discovery platforms of Directed Discovery&trade;, an advanced technology for chemotype-directed discovery, and ComGene&trade; (Combinatorial Genetics) enable rapid selection, synthesis, scale-up, and optimization.  ChemDisplay&trade; integrates small molecule surface display with heterologous expression of biosynthesized small molecules, permitting the rapid, target-directed selection of compounds from clonal libraries of virtually any size and complexity of completely novel, biologically active small molecules. The Company&rsquo;s core technologies arose from a merger between OmniScience Pharmaceuticals Inc. (Tempe, AZ), founded by Dr. Michael Chaparian, and BioChemist Inc. (Boston, MA), founded by Dr. Charles Cantor.",0,4,None,None,False,7S Bioventures.,7s-bioventures,MA,01605
1 Mill St Unit 285,Research Products & Instrumentation,Burlington,,0,723,None,None,False,89 North,89-north,VT,05401
115 Clemente St,Medical Device,Holyoke,,30,724,None,None,False,A T Surgical Co Inc,a-t-surgical-co-inc,MA,01040
