Name,GeoID,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
Alabama,04000US01,3193078.0,41683.0,19.0,430.0,1513.0,2648.0,5987.0,6260.0,8628.0,26151.0,28929.0,55674.0,85453.0,117023.0,113704.0,57644.0,818373.0,167077.0,193684.0,515504.0,236162.0,443488.0,190977.0,43117.0,32950.0
Alaska,04000US02,456862.0,2682.0,0.0,191.0,160.0,320.0,1452.0,505.0,455.0,2100.0,1310.0,4819.0,3903.0,7147.0,7923.0,4654.0,104706.0,23667.0,35732.0,100675.0,34000.0,77153.0,29269.0,8000.0,6039.0
Arizona,04000US04,4211223.0,50910.0,250.0,1565.0,4333.0,6775.0,13629.0,11397.0,15112.0,72919.0,22698.0,62066.0,76975.0,80745.0,98679.0,84044.0,869809.0,166778.0,308284.0,796860.0,348197.0,719546.0,291892.0,64212.0,43548.0
Arkansas,04000US05,1943427.0,21746.0,285.0,301.0,1216.0,1783.0,5370.0,4927.0,8300.0,18159.0,16756.0,42265.0,41880.0,55422.0,64508.0,32623.0,576505.0,116711.0,126508.0,300268.0,113074.0,254903.0,96313.0,25130.0,18474.0
California,04000US06,24443872.0,589636.0,4547.0,8878.0,40185.0,94789.0,185458.0,128309.0,154310.0,834986.0,146881.0,323655.0,534393.0,409989.0,540836.0,625239.0,4613751.0,537243.0,1398960.0,3993070.0,1872437.0,4697422.0,1791770.0,559241.0,357887.0
Colorado,04000US08,3387310.0,29953.0,306.0,400.0,1133.0,4435.0,8730.0,6151.0,6334.0,37561.0,7924.0,32520.0,42521.0,45021.0,59951.0,48345.0,627471.0,130229.0,217976.0,555829.0,281428.0,789859.0,331369.0,70901.0,50963.0
Connecticut,04000US09,2444403.0,28196.0,166.0,185.0,1025.0,1902.0,5946.0,6293.0,5320.0,18796.0,10199.0,30330.0,31307.0,43625.0,43353.0,40051.0,597976.0,78537.0,128838.0,309180.0,179119.0,500103.0,275007.0,70962.0,37987.0
Delaware,04000US10,611120.0,7952.0,355.0,251.0,0.0,925.0,1232.0,730.0,1448.0,3491.0,4039.0,8109.0,9757.0,15491.0,15706.0,10030.0,173692.0,19239.0,37584.0,82244.0,42602.0,104599.0,49862.0,11217.0,10565.0
District of Columbia,04000US11,428261.0,7120.0,98.0,0.0,243.0,709.0,807.0,1034.0,1569.0,3482.0,2943.0,3911.0,6802.0,7956.0,11246.0,6770.0,64742.0,11155.0,13822.0,47181.0,11907.0,99622.0,74134.0,34099.0,16909.0
Florida,04000US12,13267581.0,182138.0,1781.0,1674.0,8102.0,20958.0,40955.0,40892.0,53428.0,161492.0,68049.0,169793.0,223152.0,281557.0,307373.0,306458.0,3481927.0,551147.0,841270.0,1920222.0,1175984.0,2190780.0,843014.0,250768.0,144667.0
Georgia,04000US13,6308961.0,75436.0,419.0,1376.0,3881.0,7573.0,18407.0,16328.0,26149.0,78534.0,43400.0,97445.0,150731.0,188545.0,179325.0,101783.0,1551404.0,297737.0,341468.0,970101.0,419954.0,1119648.0,435733.0,113762.0,69822.0
