Name,GeoID,Total:,Male:,Less than 9th grade,"9th to 12th grade, no diploma","High school graduate, GED, or alternative","Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Female:,Less than 9th grade,"9th to 12th grade, no diploma","High school graduate, GED, or alternative","Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree
Alabama,04000US01,3193078.0,1508892.0,93491.0,190331.0,469536.0,325033.0,95523.0,208506.0,126472.0,1684186.0,84431.0,183493.0,515914.0,384155.0,140639.0,234982.0,140572.0
Alaska,04000US02,456862.0,234211.0,6846.0,12844.0,72749.0,69595.0,16153.0,34964.0,21060.0,222651.0,7148.0,10783.0,55624.0,66812.0,17847.0,42189.0,22248.0
Arizona,04000US04,4211223.0,2059722.0,130372.0,179526.0,500421.0,522853.0,156927.0,362261.0,207362.0,2151501.0,131282.0,160917.0,536166.0,582291.0,191270.0,357285.0,192290.0
Arkansas,04000US05,1943427.0,935804.0,61518.0,98498.0,344737.0,197402.0,42484.0,123627.0,67538.0,1007623.0,59590.0,95935.0,348479.0,229374.0,70590.0,131276.0,72379.0
California,04000US06,24443872.0,11937927.0,1201062.0,1087909.0,2564950.0,2601704.0,830883.0,2255027.0,1396392.0,12505945.0,1310572.0,1022548.0,2586044.0,2790326.0,1041554.0,2442395.0,1312506.0
Colorado,04000US08,3387310.0,1675846.0,73791.0,101932.0,376171.0,375385.0,125219.0,391459.0,231889.0,1711464.0,61656.0,93906.0,381529.0,398420.0,156209.0,398400.0,221344.0
Connecticut,04000US09,2444403.0,1161569.0,54511.0,77498.0,333072.0,205906.0,65753.0,240380.0,184449.0,1282834.0,53847.0,80838.0,343441.0,232112.0,113366.0,259723.0,199507.0
Delaware,04000US10,611120.0,289532.0,14713.0,26647.0,91149.0,57133.0,14827.0,49071.0,35992.0,321588.0,13819.0,24337.0,101782.0,62695.0,27775.0,55528.0,35652.0
District of Columbia,04000US11,428261.0,200665.0,12591.0,14767.0,34739.0,26745.0,5152.0,48242.0,58429.0,227596.0,9325.0,18007.0,41158.0,34258.0,6755.0,51380.0,66713.0
Florida,04000US12,13267581.0,6351556.0,373404.0,586927.0,1915604.0,1272342.0,509071.0,1051623.0,642585.0,6916025.0,375858.0,531613.0,2117470.0,1489150.0,666913.0,1139157.0,595864.0
Georgia,04000US13,6308961.0,3004726.0,189122.0,312188.0,900697.0,601343.0,173252.0,534645.0,293479.0,3304235.0,179826.0,308196.0,948444.0,710226.0,246702.0,585003.0,325838.0
Hawaii,04000US15,939512.0,462509.0,17020.0,24082.0,136408.0,109069.0,46021.0,84684.0,45225.0,477003.0,24042.0,23244.0,131055.0,107118.0,48179.0,95547.0,47818.0
Idaho,04000US16,998460.0,494011.0,24923.0,34507.0,131366.0,131316.0,40000.0,86397.0,45502.0,504449.0,20085.0,34184.0,143667.0,137368.0,48949.0,88249.0,31947.0
Illinois,04000US17,8521694.0,4090567.0,237695.0,312346.0,1141164.0,863725.0,267384.0,782695.0,485558.0,4431127.0,243125.0,298415.0,1210158.0,948253.0,355565.0,862639.0,512972.0
Indiana,04000US18,4255459.0,2052213.0,91986.0,182650.0,737941.0,420238.0,141823.0,305516.0,172059.0,2203246.0,85757.0,181414.0,771832.0,469615.0,192987.0,322657.0,178984.0
Iowa,04000US19,2027201.0,985672.0,38652.0,61054.0,340366.0,203450.0,92784.0,167855.0,81511.0,1041529.0,36525.0,53858.0,329737.0,228561.0,119115.0,190196.0,83537.0
Kansas,04000US20,1852094.0,899868.0,40368.0,55149.0,262307.0,217097.0,56315.0,171408.0,97224.0,952226.0,36104.0,53101.0,254176.0,238634.0,80736.0,194133.0,95342.0
Kentucky,04000US21,2922350.0,1404490.0,105675.0,147674.0,508375.0,277446.0,74208.0,174749.0,116363.0,1517860.0,98196.0,143469.0,488554.0,333351.0,129377.0,185226.0,139687.0
Louisiana,04000US22,2972737.0,1421896.0,97973.0,176575.0,500691.0,295181.0,63008.0,191444.0,97024.0,1550841.0,83503.0,162650.0,524134.0,348730.0,92352.0,223971.0,115501.0
Maine,04000US23,942537.0,451592.0,18679.0,28842.0,158325.0,86800.0,35003.0,77929.0,46014.0,490945.0,13366.0,24679.0,156131.0,104300.0,48861.0,90676.0,52932.0
Maryland,04000US24,3915657.0,1843965.0,85035.0,135317.0,482869.0,364632.0,96661.0,373215.0,306236.0,2071692.0,82383.0,133156.0,527974.0,414027.0,149231.0,426962.0,337959.0
Massachusetts,04000US25,4502048.0,2130741.0,102740.0,132753.0,568473.0,340662.0,138031.0,486220.0,361862.0,2371307.0,120189.0,129690.0,597218.0,398035.0,211747.0,517913.0,396515.0
Michigan,04000US26,6588324.0,3165493.0,114251.0,265087.0,985791.0,756845.0,225709.0,496360.0,321450.0,3422831.0,114577.0,244081.0,1042413.0,821042.0,330259.0,541242.0,329217.0
Minnesota,04000US27,3560801.0,1743571.0,56501.0,90733.0,487891.0,380170.0,170139.0,370535.0,187602.0,1817230.0,60044.0,76631.0,470352.0,417596.0,197893.0,406804.0,187910.0
Mississippi,04000US28,1912708.0,903797.0,67767.0,123237.0,284006.0,200109.0,58619.0,107416.0,62643.0,1008911.0,57929.0,111997.0,294267.0,234585.0,100567.0,133310.0,76256.0
Missouri,04000US29,4008554.0,1925630.0,77018.0,170648.0,619359.0,424456.0,125951.0,320240.0,187958.0,2082924.0,80368.0,170238.0,641264.0,493858.0,160412.0,335982.0,200802.0
Montana,04000US30,676793.0,335111.0,7552.0,19914.0,107178.0,79968.0,25944.0,62388.0,32167.0,341682.0,6086.0,18695.0,99521.0,90102.0,30915.0,70558.0,25805.0
Nebraska,04000US31,1196112.0,582471.0,24858.0,31785.0,171513.0,138393.0,55125.0,106821.0,53976.0,613641.0,21841.0,29280.0,175710.0,154054.0,59426.0,119001.0,54329.0
Nevada,04000US32,1810960.0,907541.0,57028.0,90951.0,268507.0,226730.0,63621.0,132169.0,68535.0,903419.0,58655.0,83485.0,259885.0,229156.0,66067.0,137292.0,68879.0
New Hampshire,04000US33,914207.0,444745.0,13759.0,29216.0,134978.0,85309.0,35198.0,91181.0,55104.0,469462.0,12272.0,23736.0,132748.0,90146.0,51532.0,100567.0,58461.0
New Jersey,04000US34,6004613.0,2852446.0,158095.0,187044.0,816837.0,501342.0,148279.0,632944.0,407905.0,3152167.0,176177.0,191316.0,950380.0,536231.0,220009.0,689281.0,388773.0
New Mexico,04000US35,1354186.0,658821.0,49661.0,68512.0,179850.0,147333.0,44515.0,92392.0,76558.0,695365.0,48682.0,60870.0,179778.0,172325.0,56665.0,103135.0,73910.0
New York,04000US36,13197704.0,6234632.0,413833.0,534253.0,1746866.0,1042103.0,463827.0,1184426.0,849324.0,6963072.0,486714.0,539466.0,1888683.0,1108188.0,628104.0,1283110.0,1028807.0
North Carolina,04000US37,6399357.0,3034749.0,199106.0,316609.0,868590.0,627742.0,219197.0,520111.0,283394.0,3364608.0,167642.0,293281.0,876661.0,768507.0,339548.0,616367.0,302602.0
North Dakota,04000US38,448145.0,223043.0,10007.0,11714.0,65529.0,52235.0,28810.0,39503.0,15245.0,225102.0,10044.0,9824.0,55159.0,56980.0,29943.0,47112.0,16040.0
Ohio,04000US39,7749236.0,3704377.0,130161.0,317937.0,1305454.0,771708.0,243737.0,586243.0,349137.0,4044859.0,127412.0,330995.0,1390281.0,861718.0,359088.0,610654.0,364711.0
Oklahoma,04000US40,2469196.0,1198119.0,65597.0,111748.0,378384.0,281552.0,76590.0,188822.0,95426.0,1271077.0,52248.0,108513.0,396576.0,313732.0,96171.0,207397.0,96440.0
Oregon,04000US41,2644754.0,1286421.0,55785.0,91694.0,323969.0,333713.0,99526.0,234020.0,147714.0,1358333.0,53995.0,80191.0,338580.0,375293.0,116187.0,252297.0,141790.0
Pennsylvania,04000US42,8714235.0,4157544.0,152506.0,333074.0,1574194.0,681495.0,281239.0,691211.0,443825.0,4556691.0,164701.0,341817.0,1696144.0,761768.0,377624.0,751872.0,462765.0
Puerto Rico,04000US72,2443515.0,1130397.0,226024.0,126728.0,328612.0,147645.0,81330.0,157564.0,62494.0,1313118.0,235587.0,117111.0,319592.0,157187.0,134148.0,258444.0,91049.0
Rhode Island,04000US44,712266.0,336083.0,22142.0,31417.0,87560.0,60929.0,25160.0,65272.0,43603.0,376183.0,23707.0,31145.0,100406.0,73663.0,34325.0,68777.0,44160.0
South Carolina,04000US45,3110532.0,1474305.0,90529.0,161781.0,465938.0,291627.0,108603.0,230321.0,125506.0,1636227.0,82753.0,157940.0,489571.0,355545.0,157570.0,256248.0,136600.0
South Dakota,04000US46,537588.0,264798.0,12268.0,15234.0,89095.0,57947.0,23914.0,45252.0,21088.0,272790.0,9951.0,13174.0,79811.0,66134.0,28426.0,52704.0,22590.0
Tennessee,04000US47,4294392.0,2046502.0,134327.0,211696.0,698210.0,419699.0,103510.0,306102.0,172958.0,2247890.0,127784.0,202715.0,737676.0,489022.0,155855.0,349449.0,185389.0
Texas,04000US48,16074391.0,7818598.0,758856.0,760673.0,1982250.0,1727707.0,485996.0,1380616.0,722500.0,8255793.0,770360.0,752338.0,2117269.0,1904978.0,566285.0,1466885.0,677678.0
Utah,04000US49,1608668.0,798958.0,26569.0,57073.0,181185.0,208734.0,65392.0,161336.0,98669.0,809710.0,24211.0,47411.0,200366.0,236186.0,82975.0,161647.0,56914.0
Vermont,04000US50,434652.0,210305.0,6922.0,14214.0,70422.0,36509.0,14289.0,41074.0,26875.0,224347.0,5059.0,9632.0,60797.0,40739.0,22179.0,52114.0,33827.0
Virginia,04000US51,5418844.0,2605062.0,136030.0,201415.0,677486.0,500473.0,157518.0,516666.0,415474.0,2813782.0,125220.0,196223.0,711127.0,586791.0,223067.0,594559.0,376795.0
