Name,GeoID,Total,With cash public assistance or Food Stamps/SNAP,No cash public assistance or Food Stamps/SNAP
"Abbeville County, South Carolina",05000US45001,9811.0,1551.0,8260.0
"Acadia Parish, Louisiana",05000US22001,22083.0,4507.0,17576.0
"Accomack County, Virginia",05000US51001,13757.0,1664.0,12093.0
"Ada County, Idaho",05000US16001,147753.0,12022.0,135731.0
"Adair County, Iowa",05000US19001,3323.0,312.0,3011.0
"Adair County, Kentucky",05000US21001,7193.0,1395.0,5798.0
"Adair County, Missouri",05000US29001,9636.0,1300.0,8336.0
"Adair County, Oklahoma",05000US40001,7909.0,1565.0,6344.0
"Adams County, Colorado",05000US08001,149508.0,12537.0,136971.0
"Adams County, Idaho",05000US16003,1783.0,83.0,1700.0
"Adams County, Illinois",05000US17001,26722.0,3131.0,23591.0
"Adams County, Indiana",05000US18001,12220.0,994.0,11226.0
"Adams County, Iowa",05000US19003,1706.0,168.0,1538.0
"Adams County, Mississippi",05000US28001,12074.0,1563.0,10511.0
"Adams County, Nebraska",05000US31001,12441.0,1237.0,11204.0
"Adams County, North Dakota",05000US38001,1097.0,45.0,1052.0
"Adams County, Ohio",05000US39001,10905.0,2039.0,8866.0
"Adams County, Pennsylvania",05000US42001,38431.0,2300.0,36131.0
"Adams County, Washington",05000US53001,5666.0,1380.0,4286.0
"Adams County, Wisconsin",05000US55001,9168.0,1229.0,7939.0
"Addison County, Vermont",05000US50001,14159.0,1479.0,12680.0
"Adjuntas Municipio, Puerto Rico",05000US72001,5498.0,2584.0,2914.0
"Aguada Municipio, Puerto Rico",05000US72003,13552.0,5430.0,8122.0
"Aguadilla Municipio, Puerto Rico",05000US72005,20111.0,8484.0,11627.0
"Aguas Buenas Municipio, Puerto Rico",05000US72007,8898.0,3610.0,5288.0
"Aibonito Municipio, Puerto Rico",05000US72009,8642.0,3652.0,4990.0
"Aiken County, South Carolina",05000US45003,63414.0,7592.0,55822.0
"Aitkin County, Minnesota",05000US27001,7823.0,753.0,7070.0
"Alachua County, Florida",05000US12001,97542.0,8860.0,88682.0
"Alamance County, North Carolina",05000US37001,59948.0,7228.0,52720.0
"Alameda County, California",05000US06001,536160.0,34502.0,501658.0
"Alamosa County, Colorado",05000US08003,5743.0,1119.0,4624.0
"Albany County, New York",05000US36001,123544.0,11404.0,112140.0
"Albany County, Wyoming",05000US56001,14683.0,769.0,13914.0
"Albemarle County, Virginia",05000US51003,37398.0,1169.0,36229.0
"Alcona County, Michigan",05000US26001,4643.0,627.0,4016.0
"Alcorn County, Mississippi",05000US28003,13867.0,1819.0,12048.0
"Aleutians East Borough, Alaska",05000US02013,336.0,33.0,303.0
"Aleutians West Census Area, Alaska",05000US02016,1255.0,111.0,1144.0
"Alexander County, Illinois",05000US17003,3168.0,933.0,2235.0
"Alexander County, North Carolina",05000US37003,13372.0,1474.0,11898.0
"Alexandria city, Virginia",05000US51510,64217.0,2471.0,61746.0
"Alfalfa County, Oklahoma",05000US40003,2033.0,190.0,1843.0
"Alger County, Michigan",05000US26003,3606.0,424.0,3182.0
"Allamakee County, Iowa",05000US19005,5860.0,540.0,5320.0
"Allegan County, Michigan",05000US26005,41914.0,5335.0,36579.0
"Allegany County, Maryland",05000US24001,28596.0,4256.0,24340.0
"Allegany County, New York",05000US36003,18936.0,2973.0,15963.0
"Alleghany County, North Carolina",05000US37005,4815.0,600.0,4215.0
"Alleghany County, Virginia",05000US51005,6935.0,825.0,6110.0
"Allegheny County, Pennsylvania",05000US42003,523175.0,55852.0,467323.0
"Allen County, Indiana",05000US18003,136147.0,14570.0,121577.0
"Allen County, Kansas",05000US20001,5598.0,537.0,5061.0
"Allen County, Kentucky",05000US21003,7849.0,1361.0,6488.0
"Allen County, Ohio",05000US39003,40703.0,6083.0,34620.0
"Allendale County, South Carolina",05000US45005,3348.0,1016.0,2332.0
"Allen Parish, Louisiana",05000US22003,8257.0,1606.0,6651.0
"Alpena County, Michigan",05000US26007,13234.0,2491.0,10743.0
"Alpine County, California",05000US06003,357.0,23.0,334.0
"Amador County, California",05000US06005,14283.0,1041.0,13242.0
"Amelia County, Virginia",05000US51007,5001.0,573.0,4428.0
"Amherst County, Virginia",05000US51009,12693.0,1404.0,11289.0
"Amite County, Mississippi",05000US28005,5001.0,816.0,4185.0
"Añasco Municipio, Puerto Rico",05000US72011,9357.0,3823.0,5534.0
"Anchorage Municipality, Alaska",05000US02020,105123.0,11646.0,93477.0
"Anderson County, Kansas",05000US20003,3201.0,443.0,2758.0
"Anderson County, Kentucky",05000US21005,8386.0,1112.0,7274.0
"Anderson County, South Carolina",05000US45007,72519.0,9563.0,62956.0
"Anderson County, Tennessee",05000US47001,31086.0,4954.0,26132.0
"Anderson County, Texas",05000US48001,15992.0,2005.0,13987.0
"Andrew County, Missouri",05000US29003,6634.0,446.0,6188.0
"Andrews County, Texas",05000US48003,5193.0,526.0,4667.0
"Androscoggin County, Maine",05000US23001,43968.0,8436.0,35532.0
"Angelina County, Texas",05000US48005,31048.0,5052.0,25996.0
"Anne Arundel County, Maryland",05000US24003,197348.0,8637.0,188711.0
"Anoka County, Minnesota",05000US27003,120886.0,7679.0,113207.0
"Anson County, North Carolina",05000US37007,9688.0,1707.0,7981.0
"Antelope County, Nebraska",05000US31003,2804.0,194.0,2610.0
"Antrim County, Michigan",05000US26009,9720.0,1170.0,8550.0
"Apache County, Arizona",05000US04001,18953.0,4624.0,14329.0
"Appanoose County, Iowa",05000US19007,5475.0,863.0,4612.0
"Appling County, Georgia",05000US13001,7062.0,1317.0,5745.0
"Appomattox County, Virginia",05000US51011,5857.0,911.0,4946.0
"Aransas County, Texas",05000US48007,10134.0,1505.0,8629.0
"Arapahoe County, Colorado",05000US08005,221136.0,13421.0,207715.0
"Archer County, Texas",05000US48009,3262.0,222.0,3040.0
"Archuleta County, Colorado",05000US08007,3951.0,179.0,3772.0
