Name,GeoID,Gini Index
"Aleutians East Borough, Alaska",05000US02013,0.392
"Aleutians West Census Area, Alaska",05000US02016,0.3772
"Anchorage Municipality, Alaska",05000US02020,0.4145
"Bethel Census Area, Alaska",05000US02050,0.4492
"Bristol Bay Borough, Alaska",05000US02060,0.3456
"Denali Borough, Alaska",05000US02068,0.3579
"Dillingham Census Area, Alaska",05000US02070,0.426
"Fairbanks North Star Borough, Alaska",05000US02090,0.4066
"Haines Borough, Alaska",05000US02100,0.398
"Hoonah-Angoon Census Area, Alaska",05000US02105,0.4445
"Juneau City and Borough, Alaska",05000US02110,0.3869
"Kenai Peninsula Borough, Alaska",05000US02122,0.4266
"Ketchikan Gateway Borough, Alaska",05000US02130,0.3929
"Kodiak Island Borough, Alaska",05000US02150,0.3631
"Lake and Peninsula Borough, Alaska",05000US02164,0.4412
"Matanuska-Susitna Borough, Alaska",05000US02170,0.3955
"Nome Census Area, Alaska",05000US02180,0.4194
"North Slope Borough, Alaska",05000US02185,0.3859
"Northwest Arctic Borough, Alaska",05000US02188,0.3982
"Petersburg Census Area, Alaska",05000US02195,0.4091
"Prince of Wales-Hyder Census Area, Alaska",05000US02198,0.4278
"Sitka City and Borough, Alaska",05000US02220,0.3774
"Skagway Municipality, Alaska",05000US02230,0.3779
"Southeast Fairbanks Census Area, Alaska",05000US02240,0.3898
"Valdez-Cordova Census Area, Alaska",05000US02261,0.3943
"Wade Hampton Census Area, Alaska",05000US02270,0.3894
"Wrangell City and Borough, Alaska",05000US02275,0.4049
"Yakutat City and Borough, Alaska",05000US02282,0.342
"Yukon-Koyukuk Census Area, Alaska",05000US02290,0.4491
"Autauga County, Alabama",05000US01001,0.4122
"Baldwin County, Alabama",05000US01003,0.4364
"Barbour County, Alabama",05000US01005,0.4758
"Bibb County, Alabama",05000US01007,0.4212
"Blount County, Alabama",05000US01009,0.4112
"Bullock County, Alabama",05000US01011,0.4979
"Butler County, Alabama",05000US01013,0.4691
"Calhoun County, Alabama",05000US01015,0.4532
"Chambers County, Alabama",05000US01017,0.4576
"Cherokee County, Alabama",05000US01019,0.4556
"Chilton County, Alabama",05000US01021,0.4468
"Choctaw County, Alabama",05000US01023,0.4709
"Clarke County, Alabama",05000US01025,0.52
"Clay County, Alabama",05000US01027,0.4216
"Cleburne County, Alabama",05000US01029,0.4381
"Coffee County, Alabama",05000US01031,0.4445
"Colbert County, Alabama",05000US01033,0.441
"Conecuh County, Alabama",05000US01035,0.5235
"Coosa County, Alabama",05000US01037,0.4264
"Covington County, Alabama",05000US01039,0.4657
"Crenshaw County, Alabama",05000US01041,0.4715
"Cullman County, Alabama",05000US01043,0.4471
"Dale County, Alabama",05000US01045,0.4271
"Dallas County, Alabama",05000US01047,0.518
"DeKalb County, Alabama",05000US01049,0.4523
"Elmore County, Alabama",05000US01051,0.4039
"Escambia County, Alabama",05000US01053,0.4656
"Etowah County, Alabama",05000US01055,0.4514
"Fayette County, Alabama",05000US01057,0.4414
"Franklin County, Alabama",05000US01059,0.4483
"Geneva County, Alabama",05000US01061,0.4525
"Greene County, Alabama",05000US01063,0.5081
"Hale County, Alabama",05000US01065,0.4905
"Henry County, Alabama",05000US01067,0.4333
"Houston County, Alabama",05000US01069,0.4712
"Jackson County, Alabama",05000US01071,0.4377
"Jefferson County, Alabama",05000US01073,0.4948
"Lamar County, Alabama",05000US01075,0.5026
"Lauderdale County, Alabama",05000US01077,0.4505
"Lawrence County, Alabama",05000US01079,0.4183
"Lee County, Alabama",05000US01081,0.4776
"Limestone County, Alabama",05000US01083,0.4448
"Lowndes County, Alabama",05000US01085,0.5192
"Macon County, Alabama",05000US01087,0.4751
"Madison County, Alabama",05000US01089,0.4597
"Marengo County, Alabama",05000US01091,0.4978
"Marion County, Alabama",05000US01093,0.4527
"Marshall County, Alabama",05000US01095,0.4613
"Mobile County, Alabama",05000US01097,0.4695
