Name,GeoID,Total,Male,Male-BA,Female,Female-BA
Alabama,04000US01,3193078.0,1508892.0,208506.0,1684186.0,234982.0
Alaska,04000US02,456862.0,234211.0,34964.0,222651.0,42189.0
Arizona,04000US04,4211223.0,2059722.0,362261.0,2151501.0,357285.0
Arkansas,04000US05,1943427.0,935804.0,123627.0,1007623.0,131276.0
California,04000US06,24443872.0,11937927.0,2255027.0,12505945.0,2442395.0
Colorado,04000US08,3387310.0,1675846.0,391459.0,1711464.0,398400.0
Connecticut,04000US09,2444403.0,1161569.0,240380.0,1282834.0,259723.0
Delaware,04000US10,611120.0,289532.0,49071.0,321588.0,55528.0
District of Columbia,04000US11,428261.0,200665.0,48242.0,227596.0,51380.0
Florida,04000US12,13267581.0,6351556.0,1051623.0,6916025.0,1139157.0
Georgia,04000US13,6308961.0,3004726.0,534645.0,3304235.0,585003.0
Hawaii,04000US15,939512.0,462509.0,84684.0,477003.0,95547.0
Idaho,04000US16,998460.0,494011.0,86397.0,504449.0,88249.0
Illinois,04000US17,8521694.0,4090567.0,782695.0,4431127.0,862639.0
Indiana,04000US18,4255459.0,2052213.0,305516.0,2203246.0,322657.0
Iowa,04000US19,2027201.0,985672.0,167855.0,1041529.0,190196.0
Kansas,04000US20,1852094.0,899868.0,171408.0,952226.0,194133.0
Kentucky,04000US21,2922350.0,1404490.0,174749.0,1517860.0,185226.0
Louisiana,04000US22,2972737.0,1421896.0,191444.0,1550841.0,223971.0
Maine,04000US23,942537.0,451592.0,77929.0,490945.0,90676.0
Maryland,04000US24,3915657.0,1843965.0,373215.0,2071692.0,426962.0
Massachusetts,04000US25,4502048.0,2130741.0,486220.0,2371307.0,517913.0
Michigan,04000US26,6588324.0,3165493.0,496360.0,3422831.0,541242.0
Minnesota,04000US27,3560801.0,1743571.0,370535.0,1817230.0,406804.0
Mississippi,04000US28,1912708.0,903797.0,107416.0,1008911.0,133310.0
Missouri,04000US29,4008554.0,1925630.0,320240.0,2082924.0,335982.0
Montana,04000US30,676793.0,335111.0,62388.0,341682.0,70558.0
Nebraska,04000US31,1196112.0,582471.0,106821.0,613641.0,119001.0
Nevada,04000US32,1810960.0,907541.0,132169.0,903419.0,137292.0
New Hampshire,04000US33,914207.0,444745.0,91181.0,469462.0,100567.0
New Jersey,04000US34,6004613.0,2852446.0,632944.0,3152167.0,689281.0
New Mexico,04000US35,1354186.0,658821.0,92392.0,695365.0,103135.0
New York,04000US36,13197704.0,6234632.0,1184426.0,6963072.0,1283110.0
North Carolina,04000US37,6399357.0,3034749.0,520111.0,3364608.0,616367.0
North Dakota,04000US38,448145.0,223043.0,39503.0,225102.0,47112.0
Ohio,04000US39,7749236.0,3704377.0,586243.0,4044859.0,610654.0
Oklahoma,04000US40,2469196.0,1198119.0,188822.0,1271077.0,207397.0
Oregon,04000US41,2644754.0,1286421.0,234020.0,1358333.0,252297.0
Pennsylvania,04000US42,8714235.0,4157544.0,691211.0,4556691.0,751872.0
Puerto Rico,04000US72,2443515.0,1130397.0,157564.0,1313118.0,258444.0
Rhode Island,04000US44,712266.0,336083.0,65272.0,376183.0,68777.0
South Carolina,04000US45,3110532.0,1474305.0,230321.0,1636227.0,256248.0
South Dakota,04000US46,537588.0,264798.0,45252.0,272790.0,52704.0
Tennessee,04000US47,4294392.0,2046502.0,306102.0,2247890.0,349449.0
Texas,04000US48,16074391.0,7818598.0,1380616.0,8255793.0,1466885.0
Utah,04000US49,1608668.0,798958.0,161336.0,809710.0,161647.0
Vermont,04000US50,434652.0,210305.0,41074.0,224347.0,52114.0
Virginia,04000US51,5418844.0,2605062.0,516666.0,2813782.0,594559.0
Washington,04000US53,4583426.0,2254973.0,466844.0,2328453.0,458251.0
West Virginia,04000US54,1294198.0,625433.0,72786.0,668765.0,78130.0
Wisconsin,04000US55,3831373.0,1872855.0,310083.0,1958518.0,358361.0
Wyoming,04000US56,375608.0,188831.0,29697.0,186777.0,32118.0
