point,x,y,hitBy,shotType,result
0,150,233,Safina,Forehand,Unforced Error
0,173,185,Safina,First Serve,In
1,283,84,Safina,Forehand,Winner
1,200,151,Safina,First Serve,In
2,80,318,Cibulkova,Backhand,Winner
2,160,171,Safina,Second Serve,In
2,169,116,Safina,First Serve,Out
3,221,428,Cibulkova,Backhand Return,Unforced Error
3,244,188,Safina,Second Serve,In
3,285,135,Safina,First Serve,Out
4,83,343,Cibulkova,Backhand Pass,Winner
4,99,155,Safina,First Serve,In
5,106,36,Safina,Backhand,Unforced Error
5,273,157,Safina,First Serve,In
6,261,428,Safina,Backhand,Unforced Error
6,155,164,Cibulkova,Second Serve,In
6,118,134,Cibulkova,First Serve,Out
7,153,233,Safina,Forehand,Unforced Error
7,207,150,Cibulkova,First Serve,In
8,122,232,Cibulkova,Forehand,Unforced Error
8,104,148,Cibulkova,First Serve,In
9,275,382,Safina,Forehand,Forced Error
9,190,159,Cibulkova,First Serve,In
10,147,154,Cibulkova,Second Serve,Forced Error
10,107,134,Cibulkova,First Serve,Out
11,271,89,Cibulkova,Backhand Pass,Winner
11,227,147,Cibulkova,First Serve,In
12,261,316,Safina,First Serve,Forced Error
13,258,47,Cibulkova,Backhand,Forced Error
13,108,288,Safina,First Serve,In
14,79,405,Safina,Forehand,Winner
14,187,302,Safina,First Serve,In
15,235,426,Safina,Forehand,Unforced Error
15,168,307,Safina,First Serve,In
16,68,52,Cibulkova,Forehand,Unforced Error
16,190,309,Safina,First Serve,In
17,75,306,Safina,First Serve,Ace
18,262,202,Safina,Drop Shot,Winner
18,208,291,Cibulkova,Second Serve,In
18,203,233,Cibulkova,First Serve,Out
19,86,155,Safina,Backhand,Winner
19,92,306,Cibulkova,Second Serve,In
19,170,332,Cibulkova,First Serve,Out
20,186,425,Cibulkova,Forehand,Unforced Error
20,244,316,Cibulkova,First Serve,In
21,132,191,Safina,Drop Shot,Winner
21,140,320,Cibulkova,First Serve,In
22,187,234,Safina,Backhand,Unforced Error
22,85,156,Safina,First Serve,In
23,153,41,Safina,Forehand,Unforced Error
23,236,152,Safina,First Serve,In
24,253,85,Safina,Backhand,Winner
24,75,166,Safina,First Serve,In
25,89,376,Cibulkova,Forehand,Winner
25,269,166,Safina,First Serve,In
26,165,165,Safina,Second Serve,Forced Error
26,71,153,Safina,First Serve,Out
27,122,427,Cibulkova,Backhand,Unforced Error
27,267,184,Safina,Second Serve,In
27,264,134,Safina,First Serve,Out
28,242,46,Safina,Backhand,Forced Error
28,172,158,Safina,First Serve,In
29,252,426,Cibulkova,Forehand,Unforced Error
29,228,171,Safina,Second Serve,In
29,225,234,Safina,First Serve,Out
30,111,147,Cibulkova,Second Serve,Forced Error
30,137,234,Cibulkova,First Serve,Out
31,69,399,Safina,Forehand,Unforced Error
31,262,160,Cibulkova,Second Serve,In
31,193,136,Cibulkova,First Serve,Out
32,271,399,Safina,Forehand Return,Forced Error
32,118,164,Cibulkova,Second Serve,In
32,128,132,Cibulkova,First Serve,Out
33,265,68,Cibulkova,Forehand,Winner
33,194,161,Cibulkova,First Serve,In
34,108,368,Safina,Backhand,Winner
34,143,157,Cibulkova,First Serve,In
35,147,233,Cibulkova,Forehand,Unforced Error
35,201,152,Cibulkova,First Serve,In
36,256,233,Cibulkova,Backhand,Unforced Error
36,104,158,Cibulkova,First Serve,In
37,105,260,Safina,Drop Shot,Winner
37,224,149,Cibulkova,First Serve,In
38,274,322,Safina,Forehand,Winner
38,216,318,Safina,Second Serve,In
38,209,232,Safina,First Serve,Out
39,226,42,Cibulkova,Backhand,Unforced Error
39,100,319,Safina,Second Serve,In
39,72,328,Safina,First Serve,Out
40,291,66,Cibulkova,Backhand,Unforced Error
40,195,316,Safina,First Serve,In
41,82,429,Safina,Forehand,Unforced Error
41,167,302,Safina,Second Serve,In
41,153,232,Safina,First Serve,Out
42,88,54,Cibulkova,Forehand,Forced Error
42,258,279,Safina,First Serve,In
43,77,59,Cibulkova,Backhand,Forced Error
43,96,321,Safina,Second Serve,In
43,132,233,Safina,First Serve,Out
44,282,315,Safina,First Serve,Forced Error
45,156,233,Safina,Second Serve,Out
45,85,329,Safina,First Serve,Out
46,199,305,Safina,First Serve,Forced Error
47,126,317,Safina,First Serve,Forced Error
48,88,75,Safina,Backhand,Winner
48,221,315,Cibulkova,Second Serve,In
48,233,334,Cibulkova,First Serve,Out
49,196,232,Safina,Backhand Return,Unforced Error
49,121,317,Cibulkova,Second Serve,In
49,164,332,Cibulkova,First Serve,Out
50,271,428,Cibulkova,Forehand,Unforced Error
50,241,313,Cibulkova,First Serve,In
51,247,45,Safina,Backhand Return,Winner
51,107,315,Cibulkova,Second Serve,In
51,174,331,Cibulkova,First Serve,Out
