point,x,y,hitBy,shotType,result
0,266,359,Federer,Forehand,Winner
0,283,314,Federer,First Serve,In
1,167,234,Federer,Forehand,Unforced Error
1,173,313,Federer,Second Serve,In
1,173,332,Federer,First Serve,Out
2,246,40,Nadal,Backhand,Unforced Error
2,190,320,Federer,First Serve,In
3,262,403,Federer,Forehand,Winner
3,94,313,Federer,First Serve,In
4,84,110,Nadal,Backhand,Winner
4,204,317,Federer,Second Serve,In
4,178,333,Federer,First Serve,Out
5,97,377,Federer,Forehand,Winner
5,171,293,Federer,Second Serve,In
5,68,314,Federer,First Serve,Out
6,88,60,Federer,Forehand,Winner
6,202,305,Nadal,Second Serve,In
6,201,233,Nadal,First Serve,Out
7,115,233,Nadal,Forehand,Unforced Error
7,77,313,Nadal,First Serve,In
8,78,57,Federer,Backhand,Winner
8,273,309,Nadal,Second Serve,In
8,203,233,Nadal,First Serve,Out
9,218,37,Federer,Backhand,Unforced Error
9,96,307,Nadal,First Serve,In
10,195,233,Nadal,Second Serve,Out
10,222,332,Nadal,First Serve,Out
11,266,86,Federer,Forehand,Winner
11,86,160,Federer,First Serve,In
12,289,63,Federer,Backhand,Unforced Error
12,194,174,Federer,Second Serve,In
12,173,147,Federer,First Serve,Out
13,99,370,Nadal,Backhand Pass,Winner
13,173,154,Federer,First Serve,In
14,116,49,Federer,Forehand,Forced Error
14,260,150,Federer,First Serve,In
15,170,143,Federer,First Serve,Ace
16,225,232,Federer,Forehand,Unforced Error
16,200,176,Federer,Second Serve,In
16,182,134,Federer,First Serve,Out
17,192,233,Nadal,Backhand,Unforced Error
17,166,148,Federer,First Serve,In
18,147,56,Federer,Forehand Volley,Forced Error
18,213,151,Federer,Second Serve,In
18,248,232,Federer,First Serve,Out
19,64,67,Nadal,Backhand,Unforced Error
19,152,152,Nadal,Second Serve,In
19,158,232,Nadal,First Serve,Out
20,291,370,Federer,Forehand,Unforced Error
20,275,143,Nadal,First Serve,In
21,92,406,Federer,Forehand Return,Winner
21,160,147,Nadal,Second Serve,In
21,156,232,Nadal,First Serve,Out
22,260,428,Federer,Backhand,Unforced Error
22,259,155,Nadal,Second Serve,In
22,289,146,Nadal,First Serve,Out
23,100,50,Nadal,Backhand,Forced Error
23,173,162,Nadal,First Serve,In
24,281,164,Nadal,Second Serve,Forced Error
24,274,135,Nadal,First Serve,Out
25,75,358,Federer,Backhand,Forced Error
25,192,305,Federer,Second Serve,In
25,287,330,Federer,First Serve,Out
26,276,114,Nadal,Backhand Pass,Winner
26,76,298,Federer,First Serve,In
27,287,352,Federer,Backhand,Unforced Error
27,237,300,Federer,Second Serve,In
27,290,328,Federer,First Serve,Out
28,87,410,Federer,Forehand,Forced Error
28,140,315,Federer,Second Serve,In
28,106,234,Federer,First Serve,Out
29,192,321,Federer,First Serve,Forced Error
30,303,359,Federer,Forehand,Unforced Error
30,169,309,Federer,Second Serve,In
30,112,233,Federer,First Serve,Out
31,250,233,Federer,Forehand,Unforced Error
31,254,307,Federer,Second Serve,In
31,266,332,Federer,First Serve,Out
32,262,315,Federer,Backhand Volley,Winner
32,164,309,Federer,First Serve,In
33,180,319,Federer,First Serve,Ace
34,180,319,Federer,First Serve,Ace
35,86,128,Federer,Forehand Volley,Winner
35,204,297,Nadal,First Serve,In
36,233,189,Federer,Backhand Volley,Winner
36,75,298,Nadal,Second Serve,In
36,86,336,Nadal,First Serve,Out
37,84,106,Federer,Forehand,Winner
37,188,310,Nadal,First Serve,In
38,112,428,Nadal,Forehand,Unforced Error
38,89,308,Nadal,First Serve,In
39,217,403,Nadal,Forehand Return,Forced Error
39,92,167,Federer,First Serve,In
40,277,165,Federer,First Serve,Ace
41,94,320,Nadal,Forehand Volley,Winner
41,174,173,Federer,Second Serve,In
41,186,161,Federer,First Serve,Out
42,82,88,Federer,Forehand,Forced Error
42,192,167,Federer,Second Serve,In
42,288,147,Federer,First Serve,Out
43,200,232,Nadal,Backhand,Unforced Error
43,137,177,Federer,Second Serve,In
43,70,136,Federer,First Serve,Out
44,71,61,Federer,Forehand Volley,Unforced Error
44,193,145,Federer,First Serve,In
45,260,400,Nadal,Forehand,Forced Error
45,169,167,Federer,First Serve,In
46,131,233,Federer,Backhand Volley,Unforced Error
46,193,159,Federer,First Serve,In
47,242,39,Nadal,Forehand,Unforced Error
47,152,160,Nadal,First Serve,In
48,265,159,Nadal,First Serve,Forced Error
49,100,73,Nadal,Forehand,Winner
49,134,146,Nadal,First Serve,In
50,220,417,Federer,Backhand Return,Forced Error
50,262,175,Nadal,Second Serve,In
50,244,232,Nadal,First Serve,Out
51,225,233,Nadal,Forehand,Unforced Error
51,163,174,Nadal,First Serve,In
52,96,84,Nadal,Forehand,Winner
52,260,174,Nadal,First Serve,In
53,253,56,Nadal,Forehand,Forced Error
53,147,148,Nadal,First Serve,In
54,86,69,Nadal,Forehand,Winner
54,283,158,Nadal,First Serve,In
55,84,54,Nadal,Forehand,Winner
55,194,319,Federer,First Serve,In
56,255,233,Federer,Backhand,Unforced Error
56,165,308,Federer,Second Serve,In
56,146,232,Federer,First Serve,Out
57,90,405,Federer,Forehand,Winner
57,255,310,Federer,Second Serve,In
57,180,341,Federer,First Serve,Out
58,87,396,Federer,Forehand,Forced Error
58,169,306,Federer,First Serve,In
59,295,417,Federer,Forehand,Unforced Error
59,283,323,Federer,First Serve,In
60,85,134,Nadal,Forehand,Winner
60,162,316,Federer,Second Serve,In
60,64,333,Federer,First Serve,Out
61,258,202,Federer,Backhand Pass,Forced Error
61,194,320,Nadal,First Serve,In
62,289,134,Federer,Forehand Volley,Unforced Error
62,84,311,Nadal,Second Serve,In
62,132,233,Nadal,First Serve,Out
63,76,389,Nadal,Forehand Pass,Winner
63,194,324,Nadal,First Serve,In
64,166,311,Nadal,Second Serve,Forced Error
64,86,330,Nadal,First Serve,Out
65,225,233,Nadal,Forehand,Unforced Error
65,191,315,Nadal,First Serve,In
66,265,407,Nadal,Forehand,Forced Error
66,100,316,Nadal,First Serve,In
