"Metro","Population","PopRank","Homeless","HomelessPer100k","HomelessRank","HomelessnessRateRank"
"Akron, OH",699935,"   72","   857","     12","   81","     65"
"Albany-Schenectady-Troy, NY",857592,"   58","   1,586","     18","   53","     33"
"Albuquerque, NM","  857,903","   57","   1,639","     19","   49","     28"
"Allentown-Bethlehem-Easton, PA-NJ","  816,012","   62","   1,231","     15","   64","     53"
"Atlanta-Sandy Springs-Marietta, GA","  5,475,213","    9","   7,175","     13","   15","     61"
"Augusta-Richmond County, GA-SC","  539,154","   95","   497","     9","   94","     85"
"Austin-Round Rock, TX","  1,705,075","   35","   2,362","     14","   37","     57"
"Bakersfield, CA","  807,407","   63","   1,439","     18","   56","     36"
"Baltimore-Towson, MD","  2,690,886","   20","   5,968","     22","   20","     23"
"Baton Rouge, LA","  786,947","   66","   501","     6","   93","     95"
"Birmingham-Hoover, AL","  1,131,070","   47","   1,950","     17","   43","     40"
"Boise City-Nampa, ID","  606,376","   85","   838","     14","   84","     58"
"Boston-Cambridge-Quincy, MA-NH","  4,588,680","   10","  11,248","     25","    8","     20"
"Bradenton-Sarasota-Venice, FL","  688,126","   75","   1,152","     17","   66","     42"
"Bridgeport-Stamford-Norwalk, CT","  901,208","   56","   1,005","     11","   73","     72"
"Buffalo-Niagara Falls, NY","  1,123,804","   50","   1,114","     10","   68","     80"
"Cape Coral-Fort Myers, FL","  586,908","   86","   969","     17","   77","     43"
"Charleston-North Charleston-Summerville, SC","  659,191","   80","   527","     8","   92","     91"
"Charlotte-Gastonia-Concord, NC-SC","  1,745,524","   33","   3,225","     18","   32","     34"
"Chattanooga, TN-GA","  524,303","   98","   561","     11","   91","     74"
"Chicago-Naperville-Joliet, IL-IN-WI","  9,580,567","    3","  10,171","     11","    9","     75"
"Cincinnati-Middletown, OH-KY-IN","  2,171,896","   24","   1,275","     6","   63","     96"
"Cleveland-Elyria-Mentor, OH","  2,091,286","   26","   2,262","     11","   38","     73"
"Colorado Springs, CO","  626,227","   83","   1,024","     16","   71","     45"
"Columbia, SC","  744,730","   69","   1,621","     22","   51","     26"
"Columbus, OH","  1,801,848","   32","   1,418","     8","   58","     92"
"Dallas-Fort Worth-Arlington, TX","  6,447,615","    4","   5,865","     9","   21","     87"
"Dayton, OH","  835,063","   61","   986","     12","   75","     70"
"Denver-Aurora-Broomfield, CO /1","  2,552,195","   21","   4,809","     19","   26","     30"
"Des Moines-West Des Moines, IA","  562,906","   90","   986","     18","   76","     39"
"Detroit-Warren-Livonia, MI","  4,403,437","   11","   5,124","     12","   25","     71"
"El Paso, TX","  751,296","   68","   1,331","     18","   60","     37"
"Fresno, CA","  915,267","   54","   5,135","     56","   24","     3"
"Grand Rapids-Wyoming, MI","  778,009","   67","   627","     8","   89","     90"
"Greensboro-High Point, NC","  714,765","   71","   1,024","     14","   72","     55"
"Greenville-Mauldin-Easley, SC","  639,617","   82","   1,401","     22","   59","     24"
"Harrisburg-Carlisle, PA","  536,919","   96","   394","     7","   96","     94"
"Hartford-West Hartford-East Hartford, CT","  1,195,998","   45","   881","     7","   79","     93"
