date,player,rank
1986-10-13,Andre Agassi,100
1986-10-20,Andre Agassi,97
1986-10-27,Andre Agassi,97
1986-11-03,Andre Agassi,99
1986-11-24,Andre Agassi,89
1986-12-01,Andre Agassi,92
1986-12-08,Andre Agassi,91
1986-12-29,Andre Agassi,91
1987-01-05,Andre Agassi,93
1987-01-12,Andre Agassi,92
1987-01-26,Andre Agassi,93
1987-02-02,Andre Agassi,93
1987-02-09,Andre Agassi,92
1987-02-16,Andre Agassi,92
1987-02-23,Andre Agassi,93
1987-03-09,Andre Agassi,94
1987-03-23,Andre Agassi,94
1987-03-30,Andre Agassi,96
1987-04-06,Andre Agassi,95
1987-04-13,Andre Agassi,98
1987-04-20,Andre Agassi,73
1987-04-27,Andre Agassi,56
1987-05-04,Andre Agassi,62
1987-05-11,Andre Agassi,64
1987-05-18,Andre Agassi,61
1987-05-25,Andre Agassi,62
1987-06-08,Andre Agassi,60
1987-06-15,Andre Agassi,60
1987-06-22,Andre Agassi,61
1987-07-06,Andre Agassi,69
1987-07-13,Andre Agassi,72
1987-07-20,Andre Agassi,69
1987-07-27,Andre Agassi,81
1987-08-03,Andre Agassi,90
1987-08-10,Andre Agassi,72
1987-08-17,Andre Agassi,70
1987-08-24,Andre Agassi,71
1987-08-31,Andre Agassi,70
1987-09-14,Andre Agassi,69
1987-09-21,Andre Agassi,68
1987-09-28,Andre Agassi,57
1987-10-05,Andre Agassi,58
1987-10-12,Andre Agassi,46
1987-10-19,Andre Agassi,46
1987-10-26,Andre Agassi,46
1987-11-02,Andre Agassi,44
1987-11-09,Andre Agassi,43
1987-11-16,Andre Agassi,44
1987-11-23,Andre Agassi,41
1987-11-30,Andre Agassi,24
1987-12-28,Andre Agassi,25
1988-01-04,Andre Agassi,25
1988-01-11,Andre Agassi,26
1988-01-25,Andre Agassi,26
1988-02-01,Andre Agassi,26
1988-02-15,Andre Agassi,18
1988-02-22,Andre Agassi,17
1988-02-29,Andre Agassi,17
1988-03-07,Andre Agassi,15
1988-03-14,Andre Agassi,16
1988-03-28,Andre Agassi,15
1988-04-18,Andre Agassi,16
1988-04-25,Andre Agassi,18
1988-05-02,Andre Agassi,15
1988-05-09,Andre Agassi,12
1988-05-16,Andre Agassi,12
1988-05-23,Andre Agassi,11
1988-06-06,Andre Agassi,6
1988-06-13,Andre Agassi,6
1988-06-20,Andre Agassi,6
1988-07-04,Andre Agassi,6
1988-07-11,Andre Agassi,6
1988-07-18,Andre Agassi,5
1988-07-25,Andre Agassi,5
1988-08-01,Andre Agassi,4
1988-08-08,Andre Agassi,4
1988-08-15,Andre Agassi,4
1988-08-22,Andre Agassi,4
1988-08-29,Andre Agassi,4
1988-09-12,Andre Agassi,4
1988-09-19,Andre Agassi,4
1988-09-26,Andre Agassi,4
1988-10-03,Andre Agassi,4
1988-10-10,Andre Agassi,4
1988-10-17,Andre Agassi,4
1988-10-24,Andre Agassi,4
1988-10-31,Andre Agassi,4
1988-11-07,Andre Agassi,3
1988-11-14,Andre Agassi,3
1988-11-21,Andre Agassi,3
1988-11-28,Andre Agassi,3
1988-12-12,Andre Agassi,3
1988-12-19,Andre Agassi,3
1989-01-09,Andre Agassi,3
1989-01-16,Andre Agassi,3
1989-01-30,Andre Agassi,3
1989-02-13,Andre Agassi,3
1989-02-20,Andre Agassi,4
1989-02-27,Andre Agassi,4
1989-03-06,Andre Agassi,5
1989-03-13,Andre Agassi,4
1989-03-20,Andre Agassi,4
1989-04-03,Andre Agassi,5
1989-04-17,Andre Agassi,4
1989-04-24,Andre Agassi,5
1989-05-01,Andre Agassi,5
1989-05-08,Andre Agassi,5
1989-05-15,Andre Agassi,5
1989-05-22,Andre Agassi,5
1989-05-29,Andre Agassi,5
1989-06-12,Andre Agassi,4
1989-06-19,Andre Agassi,4
1989-06-26,Andre Agassi,4
1989-07-10,Andre Agassi,4
1989-07-17,Andre Agassi,6
1989-07-24,Andre Agassi,6
1989-07-31,Andre Agassi,7
1989-08-07,Andre Agassi,7
1989-08-14,Andre Agassi,7
1989-08-21,Andre Agassi,6
1989-08-28,Andre Agassi,6
1989-09-11,Andre Agassi,5
1989-09-18,Andre Agassi,5
1989-09-25,Andre Agassi,7
1989-10-02,Andre Agassi,7
1989-10-09,Andre Agassi,5
1989-10-16,Andre Agassi,5
1989-10-23,Andre Agassi,7
1989-10-30,Andre Agassi,6
1989-11-06,Andre Agassi,5
1989-11-13,Andre Agassi,6
1989-11-20,Andre Agassi,6
1989-11-27,Andre Agassi,7
1989-12-04,Andre Agassi,7
1989-12-11,Andre Agassi,7
1989-12-18,Andre Agassi,7
1990-01-01,Andre Agassi,8
1990-01-08,Andre Agassi,8
1990-01-15,Andre Agassi,8
1990-01-22,Andre Agassi,8
1990-01-29,Andre Agassi,8
1990-02-05,Andre Agassi,8
1990-02-12,Andre Agassi,7
1990-02-19,Andre Agassi,6
1990-02-26,Andre Agassi,8
1990-03-05,Andre Agassi,8
1990-03-12,Andre Agassi,5
1990-03-19,Andre Agassi,5
1990-03-26,Andre Agassi,4
1990-04-02,Andre Agassi,4
1990-04-09,Andre Agassi,4
1990-04-16,Andre Agassi,4
1990-04-23,Andre Agassi,4
1990-04-30,Andre Agassi,4
1990-05-07,Andre Agassi,4
1990-05-14,Andre Agassi,4
1990-05-21,Andre Agassi,5
1990-05-28,Andre Agassi,5
1990-06-04,Andre Agassi,5
1990-06-11,Andre Agassi,5
1990-06-18,Andre Agassi,5
1990-06-25,Andre Agassi,5
1990-07-02,Andre Agassi,5
1990-07-09,Andre Agassi,5
1990-07-16,Andre Agassi,4
1990-07-23,Andre Agassi,4
1990-07-30,Andre Agassi,4
1990-08-06,Andre Agassi,4
1990-08-13,Andre Agassi,4
1990-08-20,Andre Agassi,4
1990-08-27,Andre Agassi,4
1990-09-03,Andre Agassi,4
1990-09-10,Andre Agassi,4
1990-09-17,Andre Agassi,4
1990-09-24,Andre Agassi,4
1990-10-01,Andre Agassi,4
1990-10-08,Andre Agassi,4
1990-10-15,Andre Agassi,4
1990-10-22,Andre Agassi,4
1990-10-29,Andre Agassi,4
1990-11-05,Andre Agassi,4
1990-11-12,Andre Agassi,4
1990-11-19,Andre Agassi,4
1990-11-26,Andre Agassi,4
1990-12-03,Andre Agassi,4
1990-12-10,Andre Agassi,4
1990-12-17,Andre Agassi,4
1990-12-24,Andre Agassi,4
1990-12-31,Andre Agassi,4
1991-01-07,Andre Agassi,4
1991-01-14,Andre Agassi,4
1991-01-21,Andre Agassi,4
1991-01-28,Andre Agassi,4
1991-02-04,Andre Agassi,4
1991-02-11,Andre Agassi,4
1991-02-18,Andre Agassi,4
1991-02-25,Andre Agassi,4
1991-03-04,Andre Agassi,4
1991-03-11,Andre Agassi,4
1991-03-18,Andre Agassi,4
1991-03-25,Andre Agassi,5
1991-04-01,Andre Agassi,5
1991-04-08,Andre Agassi,5
1991-04-15,Andre Agassi,5
1991-04-22,Andre Agassi,4
1991-04-29,Andre Agassi,4
1991-05-06,Andre Agassi,4
1991-05-13,Andre Agassi,4
1991-05-20,Andre Agassi,4
1991-05-27,Andre Agassi,4
1991-06-03,Andre Agassi,4
1991-06-10,Andre Agassi,5
1991-06-17,Andre Agassi,5
1991-06-24,Andre Agassi,5
1991-07-01,Andre Agassi,5
1991-07-08,Andre Agassi,6
1991-07-15,Andre Agassi,6
1991-07-22,Andre Agassi,6
1991-07-29,Andre Agassi,6
1991-08-05,Andre Agassi,6
1991-08-12,Andre Agassi,6
1991-08-19,Andre Agassi,8
1991-08-26,Andre Agassi,7
1991-09-02,Andre Agassi,7
1991-09-09,Andre Agassi,8
1991-09-16,Andre Agassi,8
1991-09-23,Andre Agassi,8
1991-09-30,Andre Agassi,8
1991-10-07,Andre Agassi,8
1991-10-14,Andre Agassi,8
1991-10-21,Andre Agassi,8
1991-10-28,Andre Agassi,8
1991-11-04,Andre Agassi,8
1991-11-11,Andre Agassi,8
1991-11-18,Andre Agassi,10
1991-11-25,Andre Agassi,10
1991-12-02,Andre Agassi,10
1991-12-09,Andre Agassi,10
1991-12-16,Andre Agassi,10
1991-12-23,Andre Agassi,10
1991-12-30,Andre Agassi,10
1992-01-06,Andre Agassi,10
1992-01-13,Andre Agassi,11
1992-01-20,Andre Agassi,11
1992-01-27,Andre Agassi,11
1992-02-03,Andre Agassi,11
1992-02-10,Andre Agassi,14
1992-02-17,Andre Agassi,14
1992-02-24,Andre Agassi,13
1992-03-02,Andre Agassi,12
1992-03-09,Andre Agassi,14
1992-03-16,Andre Agassi,14
1992-03-23,Andre Agassi,14
1992-03-30,Andre Agassi,14
1992-04-06,Andre Agassi,16
1992-04-13,Andre Agassi,17
1992-04-20,Andre Agassi,16
1992-04-27,Andre Agassi,16
1992-05-04,Andre Agassi,11
1992-05-11,Andre Agassi,11
1992-05-18,Andre Agassi,12
1992-05-25,Andre Agassi,12
1992-06-01,Andre Agassi,12
1992-06-08,Andre Agassi,14
1992-06-15,Andre Agassi,14
1992-06-22,Andre Agassi,14
1992-06-29,Andre Agassi,14
1992-07-06,Andre Agassi,9
1992-07-13,Andre Agassi,9
1992-07-20,Andre Agassi,11
1992-07-27,Andre Agassi,8
1992-08-03,Andre Agassi,8
1992-08-10,Andre Agassi,8
1992-08-17,Andre Agassi,6
1992-08-24,Andre Agassi,8
1992-08-31,Andre Agassi,9
1992-09-07,Andre Agassi,9
1992-09-14,Andre Agassi,6
1992-09-21,Andre Agassi,6
1992-09-28,Andre Agassi,6
1992-10-05,Andre Agassi,7
1992-10-12,Andre Agassi,8
1992-10-19,Andre Agassi,9
1992-10-26,Andre Agassi,8
1992-11-02,Andre Agassi,8
1992-11-09,Andre Agassi,9
1992-11-16,Andre Agassi,9
1992-11-23,Andre Agassi,9
1992-11-30,Andre Agassi,9
1992-12-07,Andre Agassi,9
1992-12-14,Andre Agassi,9
1992-12-21,Andre Agassi,9
1992-12-28,Andre Agassi,9
1993-01-04,Andre Agassi,9
1993-01-11,Andre Agassi,9
1993-01-18,Andre Agassi,9
1993-01-25,Andre Agassi,9
1993-02-01,Andre Agassi,9
1993-02-08,Andre Agassi,8
1993-02-15,Andre Agassi,8
1993-02-22,Andre Agassi,8
1993-03-01,Andre Agassi,8
1993-03-08,Andre Agassi,8
1993-03-15,Andre Agassi,8
1993-03-22,Andre Agassi,7
1993-03-29,Andre Agassi,7
1993-04-05,Andre Agassi,7
1993-04-12,Andre Agassi,7
1993-04-19,Andre Agassi,7
1993-04-26,Andre Agassi,7
1993-05-03,Andre Agassi,8
1993-05-10,Andre Agassi,8
1993-05-17,Andre Agassi,8
1993-05-24,Andre Agassi,8
1993-05-31,Andre Agassi,8
1993-06-07,Andre Agassi,13
1993-06-14,Andre Agassi,13
1993-06-21,Andre Agassi,13
1993-06-28,Andre Agassi,13
1993-07-05,Andre Agassi,22
1993-07-12,Andre Agassi,22
1993-07-19,Andre Agassi,21
1993-07-26,Andre Agassi,31
1993-08-02,Andre Agassi,27
1993-08-09,Andre Agassi,28
1993-08-16,Andre Agassi,22
1993-08-23,Andre Agassi,16
1993-08-30,Andre Agassi,16
1993-09-06,Andre Agassi,16
1993-09-13,Andre Agassi,20
1993-09-20,Andre Agassi,21
1993-09-27,Andre Agassi,21
1993-10-04,Andre Agassi,21
1993-10-11,Andre Agassi,23
1993-10-18,Andre Agassi,24
