date,player,rank
1997-12-22,Amelie Mauresmo,100
1997-12-29,Amelie Mauresmo,100
1998-01-05,Amelie Mauresmo,98
1998-01-12,Amelie Mauresmo,97
1998-01-19,Amelie Mauresmo,99
1998-01-26,Amelie Mauresmo,96
1998-02-02,Amelie Mauresmo,79
1998-02-09,Amelie Mauresmo,84
1998-02-16,Amelie Mauresmo,85
1998-02-23,Amelie Mauresmo,85
1998-03-02,Amelie Mauresmo,75
1998-03-09,Amelie Mauresmo,75
1998-03-16,Amelie Mauresmo,74
1998-03-23,Amelie Mauresmo,74
1998-03-30,Amelie Mauresmo,69
1998-04-06,Amelie Mauresmo,67
1998-04-13,Amelie Mauresmo,69
1998-04-20,Amelie Mauresmo,69
1998-04-27,Amelie Mauresmo,71
1998-05-04,Amelie Mauresmo,67
1998-05-11,Amelie Mauresmo,65
1998-05-18,Amelie Mauresmo,34
1998-05-25,Amelie Mauresmo,34
1998-06-01,Amelie Mauresmo,34
1998-06-08,Amelie Mauresmo,35
1998-06-15,Amelie Mauresmo,36
1998-06-22,Amelie Mauresmo,35
1998-06-29,Amelie Mauresmo,35
1998-07-06,Amelie Mauresmo,34
1998-07-13,Amelie Mauresmo,33
1998-07-20,Amelie Mauresmo,34
1998-07-27,Amelie Mauresmo,32
1998-08-03,Amelie Mauresmo,32
1998-08-10,Amelie Mauresmo,31
1998-08-17,Amelie Mauresmo,32
1998-08-24,Amelie Mauresmo,32
1998-08-31,Amelie Mauresmo,31
1998-09-07,Amelie Mauresmo,31
1998-09-14,Amelie Mauresmo,30
1998-09-21,Amelie Mauresmo,30
1998-09-28,Amelie Mauresmo,30
1998-10-05,Amelie Mauresmo,30
1998-10-12,Amelie Mauresmo,30
1998-10-19,Amelie Mauresmo,30
1998-10-26,Amelie Mauresmo,29
1998-11-02,Amelie Mauresmo,29
1998-11-09,Amelie Mauresmo,29
1998-11-16,Amelie Mauresmo,29
1998-11-23,Amelie Mauresmo,29
1998-11-30,Amelie Mauresmo,29
1998-12-07,Amelie Mauresmo,29
1998-12-14,Amelie Mauresmo,29
1998-12-21,Amelie Mauresmo,29
1998-12-28,Amelie Mauresmo,29
1999-01-04,Amelie Mauresmo,29
1999-01-11,Amelie Mauresmo,29
1999-01-18,Amelie Mauresmo,29
1999-01-25,Amelie Mauresmo,29
1999-02-01,Amelie Mauresmo,17
1999-02-08,Amelie Mauresmo,18
1999-02-15,Amelie Mauresmo,18
1999-02-22,Amelie Mauresmo,18
1999-03-01,Amelie Mauresmo,15
1999-03-08,Amelie Mauresmo,15
1999-03-15,Amelie Mauresmo,14
1999-03-22,Amelie Mauresmo,14
1999-03-29,Amelie Mauresmo,14
1999-04-05,Amelie Mauresmo,14
1999-04-12,Amelie Mauresmo,14
1999-04-19,Amelie Mauresmo,14
1999-04-26,Amelie Mauresmo,14
1999-05-03,Amelie Mauresmo,16
1999-05-10,Amelie Mauresmo,10
1999-05-17,Amelie Mauresmo,18
1999-05-24,Amelie Mauresmo,17
1999-05-31,Amelie Mauresmo,17
1999-06-07,Amelie Mauresmo,15
1999-06-14,Amelie Mauresmo,15
1999-06-21,Amelie Mauresmo,15
1999-06-28,Amelie Mauresmo,15
1999-07-05,Amelie Mauresmo,15
1999-07-12,Amelie Mauresmo,16
1999-07-19,Amelie Mauresmo,16
1999-07-26,Amelie Mauresmo,16
1999-08-02,Amelie Mauresmo,17
1999-08-09,Amelie Mauresmo,17
1999-08-16,Amelie Mauresmo,17
1999-08-23,Amelie Mauresmo,17
1999-08-30,Amelie Mauresmo,16
1999-09-06,Amelie Mauresmo,16
1999-09-13,Amelie Mauresmo,14
1999-09-20,Amelie Mauresmo,14
1999-09-27,Amelie Mauresmo,12
1999-10-04,Amelie Mauresmo,12
1999-10-11,Amelie Mauresmo,10
1999-10-18,Amelie Mauresmo,11
1999-10-25,Amelie Mauresmo,12
1999-11-01,Amelie Mauresmo,11
1999-11-08,Amelie Mauresmo,11
1999-11-15,Amelie Mauresmo,10
1999-11-22,Amelie Mauresmo,10
1999-11-29,Amelie Mauresmo,10
1999-12-06,Amelie Mauresmo,10
1999-12-13,Amelie Mauresmo,10
1999-12-20,Amelie Mauresmo,10
1999-12-27,Amelie Mauresmo,10
2000-01-03,Amelie Mauresmo,10
2000-01-10,Amelie Mauresmo,9
2000-01-17,Amelie Mauresmo,6
2000-01-24,Amelie Mauresmo,6
2000-01-31,Amelie Mauresmo,14
2000-02-07,Amelie Mauresmo,14
2000-02-14,Amelie Mauresmo,14
2000-02-21,Amelie Mauresmo,13
2000-02-28,Amelie Mauresmo,15
2000-03-06,Amelie Mauresmo,15
2000-03-13,Amelie Mauresmo,15
2000-03-20,Amelie Mauresmo,15
2000-03-27,Amelie Mauresmo,15
2000-04-03,Amelie Mauresmo,15
2000-04-10,Amelie Mauresmo,15
2000-04-17,Amelie Mauresmo,16
2000-04-24,Amelie Mauresmo,17
2000-05-01,Amelie Mauresmo,17
2000-05-08,Amelie Mauresmo,18
2000-05-15,Amelie Mauresmo,18
2000-05-22,Amelie Mauresmo,14
2000-05-29,Amelie Mauresmo,14
2000-06-05,Amelie Mauresmo,14
2000-06-12,Amelie Mauresmo,13
2000-06-19,Amelie Mauresmo,13
2000-06-26,Amelie Mauresmo,13
2000-07-03,Amelie Mauresmo,13
2000-07-10,Amelie Mauresmo,13
2000-07-17,Amelie Mauresmo,13
2000-07-24,Amelie Mauresmo,13
2000-07-31,Amelie Mauresmo,12
2000-08-07,Amelie Mauresmo,12
2000-08-14,Amelie Mauresmo,12
2000-08-21,Amelie Mauresmo,12
2000-08-28,Amelie Mauresmo,13
2000-09-04,Amelie Mauresmo,13
2000-09-11,Amelie Mauresmo,15
2000-09-18,Amelie Mauresmo,15
2000-09-25,Amelie Mauresmo,14
2000-10-02,Amelie Mauresmo,15
2000-10-09,Amelie Mauresmo,15
2000-10-16,Amelie Mauresmo,16
2000-10-23,Amelie Mauresmo,16
2000-10-30,Amelie Mauresmo,16
2000-11-06,Amelie Mauresmo,17
2000-11-13,Amelie Mauresmo,16
2000-11-20,Amelie Mauresmo,16
2000-11-27,Amelie Mauresmo,16
2000-12-04,Amelie Mauresmo,16
2000-12-11,Amelie Mauresmo,16
2000-12-18,Amelie Mauresmo,16
2000-12-25,Amelie Mauresmo,16
2001-01-01,Amelie Mauresmo,16
2001-01-08,Amelie Mauresmo,16
2001-01-15,Amelie Mauresmo,20
2001-01-22,Amelie Mauresmo,20
2001-01-29,Amelie Mauresmo,19
2001-02-05,Amelie Mauresmo,19
2001-02-12,Amelie Mauresmo,14
2001-02-19,Amelie Mauresmo,12
2001-02-26,Amelie Mauresmo,13
2001-03-05,Amelie Mauresmo,13
2001-03-12,Amelie Mauresmo,13
2001-03-19,Amelie Mauresmo,13
2001-03-26,Amelie Mauresmo,13
2001-04-02,Amelie Mauresmo,14
2001-04-09,Amelie Mauresmo,15
2001-04-16,Amelie Mauresmo,9
2001-04-23,Amelie Mauresmo,7
2001-04-30,Amelie Mauresmo,7
2001-05-07,Amelie Mauresmo,9
2001-05-14,Amelie Mauresmo,6
2001-05-21,Amelie Mauresmo,5
2001-05-28,Amelie Mauresmo,5
2001-06-04,Amelie Mauresmo,5
2001-06-11,Amelie Mauresmo,6
2001-06-18,Amelie Mauresmo,6
2001-06-25,Amelie Mauresmo,6
2001-07-02,Amelie Mauresmo,6
2001-07-09,Amelie Mauresmo,7
2001-07-16,Amelie Mauresmo,7
2001-07-23,Amelie Mauresmo,7
2001-07-30,Amelie Mauresmo,7
2001-08-06,Amelie Mauresmo,7
2001-08-13,Amelie Mauresmo,7
2001-08-20,Amelie Mauresmo,8
2001-08-27,Amelie Mauresmo,7
2001-09-03,Amelie Mauresmo,7
2001-09-10,Amelie Mauresmo,6
2001-09-17,Amelie Mauresmo,6
2001-09-24,Amelie Mauresmo,6
2001-10-01,Amelie Mauresmo,6
2001-10-08,Amelie Mauresmo,6
2001-10-15,Amelie Mauresmo,6
2001-10-22,Amelie Mauresmo,7
2001-10-29,Amelie Mauresmo,7
2001-11-05,Amelie Mauresmo,9
2001-11-12,Amelie Mauresmo,9
2001-11-19,Amelie Mauresmo,9
2001-11-26,Amelie Mauresmo,9
2001-12-03,Amelie Mauresmo,9
2001-12-10,Amelie Mauresmo,9
2001-12-17,Amelie Mauresmo,9
2001-12-24,Amelie Mauresmo,9
2001-12-31,Amelie Mauresmo,9
2002-01-07,Amelie Mauresmo,9
2002-01-14,Amelie Mauresmo,9
2002-01-21,Amelie Mauresmo,9
2002-01-28,Amelie Mauresmo,8
2002-02-04,Amelie Mauresmo,8
2002-02-11,Amelie Mauresmo,10
2002-02-18,Amelie Mauresmo,10
2002-02-25,Amelie Mauresmo,10
2002-03-04,Amelie Mauresmo,10
2002-03-11,Amelie Mauresmo,10
2002-03-18,Amelie Mauresmo,10
2002-03-25,Amelie Mauresmo,10
2002-04-01,Amelie Mauresmo,10
2002-04-08,Amelie Mauresmo,10
2002-04-15,Amelie Mauresmo,10
2002-04-22,Amelie Mauresmo,10
